id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
03TqFI0Jk6FzZahHmlvtRf,waitingforyou,2021-01-05,16,0.812,0.683,4,-5.776,0,0.0408,0.0783,4.44e-4,0.058,0.464,105.05,audio_features,spotify:track:03TqFI0Jk6FzZahHmlvtRf,https://api.spotify.com/v1/tracks/03TqFI0Jk6FzZahHmlvtRf,https://api.spotify.com/v1/audio-analysis/03TqFI0Jk6FzZahHmlvtRf,194571,4
0csJAgJXEbtPaAg9S9tGbC,Cry,2019-10-03,29,0.506,0.903,4,-4.253,1,0.134,1.07e-4,0.134,0.686,0.493,127.965,audio_features,spotify:track:0csJAgJXEbtPaAg9S9tGbC,https://api.spotify.com/v1/tracks/0csJAgJXEbtPaAg9S9tGbC,https://api.spotify.com/v1/audio-analysis/0csJAgJXEbtPaAg9S9tGbC,132937,4
0EsCBNDYrjAeqsAzfzmzNQ,R,2021-09-13,21,0.324,0.789,3,-4.803,1,0.0362,0.0263,0.0118,0.326,0.342,88.312,audio_features,spotify:track:0EsCBNDYrjAeqsAzfzmzNQ,https://api.spotify.com/v1/tracks/0EsCBNDYrjAeqsAzfzmzNQ,https://api.spotify.com/v1/audio-analysis/0EsCBNDYrjAeqsAzfzmzNQ,145333,4
0oO7VhBZdoKQuQClYwOmtu,"Quaoar (For ""Thanks Follower 50k"")",2018-12-30,36,0.383,0.982,8,-3.423,0,0.296,0.00837,0.242,0.0736,0.12,174.044,audio_features,spotify:track:0oO7VhBZdoKQuQClYwOmtu,https://api.spotify.com/v1/tracks/0oO7VhBZdoKQuQClYwOmtu,https://api.spotify.com/v1/audio-analysis/0oO7VhBZdoKQuQClYwOmtu,290000,4
0WaRqJJkCunAvsxUAlAqSI,Lúin Of CeltchaR,2019-09-01,28,0.421,0.999,5,-1.782,0,0.43,9.39e-4,0.454,0.151,0.0672,152.95,audio_features,spotify:track:0WaRqJJkCunAvsxUAlAqSI,https://api.spotify.com/v1/tracks/0WaRqJJkCunAvsxUAlAqSI,https://api.spotify.com/v1/audio-analysis/0WaRqJJkCunAvsxUAlAqSI,317500,4
0Ww4xWSspmcAO6N8zzaR3d,Exit This Earth's Atomosphere,2015-08-16,47,0.436,0.952,6,-2.58,1,0.372,0.00581,0.155,0.59,0.122,170.082,audio_features,spotify:track:0Ww4xWSspmcAO6N8zzaR3d,https://api.spotify.com/v1/tracks/0Ww4xWSspmcAO6N8zzaR3d,https://api.spotify.com/v1/audio-analysis/0Ww4xWSspmcAO6N8zzaR3d,332000,4
0ycAPiJ2of5da8WL4kENIz,GHOUL,2021-07-11,43,0.575,0.987,6,-1.644,1,0.307,0.00122,0.678,0.0719,0.217,115.022,audio_features,spotify:track:0ycAPiJ2of5da8WL4kENIz,https://api.spotify.com/v1/tracks/0ycAPiJ2of5da8WL4kENIz,https://api.spotify.com/v1/audio-analysis/0ycAPiJ2of5da8WL4kENIz,271250,4
10B0XidWqJbw3JaYtgGyTH,First Town Of This Journey,2015-12-31,37,0.367,0.985,7,-2.931,1,0.0814,0.0416,0.644,0.269,0.471,169.996,audio_features,spotify:track:10B0XidWqJbw3JaYtgGyTH,https://api.spotify.com/v1/tracks/10B0XidWqJbw3JaYtgGyTH,https://api.spotify.com/v1/audio-analysis/10B0XidWqJbw3JaYtgGyTH,223000,3
1GVvGs4mBihn3sstkAuu4X,カミノコトバ,2012-09-26,0,0.659,0.771,6,-9.424,0,0.0598,0.422,0.00351,0.176,0.152,110.016,audio_features,spotify:track:1GVvGs4mBihn3sstkAuu4X,https://api.spotify.com/v1/tracks/1GVvGs4mBihn3sstkAuu4X,https://api.spotify.com/v1/audio-analysis/1GVvGs4mBihn3sstkAuu4X,287893,4
1JAw1v3pW6qL0K7eZKUZFk,Feral,2020-02-18,39,0.577,0.798,7,-7.553,1,0.111,9.12e-4,0.893,0.0727,0.0423,160.011,audio_features,spotify:track:1JAw1v3pW6qL0K7eZKUZFk,https://api.spotify.com/v1/tracks/1JAw1v3pW6qL0K7eZKUZFk,https://api.spotify.com/v1/audio-analysis/1JAw1v3pW6qL0K7eZKUZFk,267613,4
1Oe5q1b9gYIbU4BIrjgKEL,PP BREAKER,2021-07-03,21,0.32,0.976,1,-3.498,0,0.392,0.00488,8.54e-5,0.18,0.54,131.095,audio_features,spotify:track:1Oe5q1b9gYIbU4BIrjgKEL,https://api.spotify.com/v1/tracks/1Oe5q1b9gYIbU4BIrjgKEL,https://api.spotify.com/v1/audio-analysis/1Oe5q1b9gYIbU4BIrjgKEL,219240,4
1v5TW6c6p6Vz9OKRDjyZUQ,Flower Rocket,2021-09-13,17,0.519,0.94,6,-7.624,1,0.0389,0.00209,0.703,0.176,0.614,114.99,audio_features,spotify:track:1v5TW6c6p6Vz9OKRDjyZUQ,https://api.spotify.com/v1/tracks/1v5TW6c6p6Vz9OKRDjyZUQ,https://api.spotify.com/v1/audio-analysis/1v5TW6c6p6Vz9OKRDjyZUQ,204783,4
1vtpIOOXe7iq0kUXYcBn61,We Magicians Still Alive in 2021,2021-07-11,32,0.367,0.957,1,-2.215,1,0.296,0.00318,0.0474,0.637,0.213,77.578,audio_features,spotify:track:1vtpIOOXe7iq0kUXYcBn61,https://api.spotify.com/v1/tracks/1vtpIOOXe7iq0kUXYcBn61,https://api.spotify.com/v1/audio-analysis/1vtpIOOXe7iq0kUXYcBn61,330500,4
22r7SbeHDOAFhH4bZIoL9R,Prominence,2021-09-13,16,0.439,0.763,4,-5.523,0,0.0459,0.00199,0.589,0.46,0.524,150.014,audio_features,spotify:track:22r7SbeHDOAFhH4bZIoL9R,https://api.spotify.com/v1/tracks/22r7SbeHDOAFhH4bZIoL9R,https://api.spotify.com/v1/audio-analysis/22r7SbeHDOAFhH4bZIoL9R,176000,4
