id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
01SbT7R72185YdB9mS4xAv,Blossoms,2019-10-27,0,0.628,0.728,8,-6.329,1,0.278,0.0117,0.0567,0.107,0.559,137.998,audio_features,spotify:track:01SbT7R72185YdB9mS4xAv,https://api.spotify.com/v1/tracks/01SbT7R72185YdB9mS4xAv,https://api.spotify.com/v1/audio-analysis/01SbT7R72185YdB9mS4xAv,146871,4
04eK0AIcNIoTyUmr0xw5qM,Red and Blue,2019-10-27,0,0.434,0.948,1,-4.539,1,0.29,7.45e-6,0.735,0.346,0.305,149.937,audio_features,spotify:track:04eK0AIcNIoTyUmr0xw5qM,https://api.spotify.com/v1/tracks/04eK0AIcNIoTyUmr0xw5qM,https://api.spotify.com/v1/audio-analysis/04eK0AIcNIoTyUmr0xw5qM,120500,4
08SY0Wlo4i0aySKUKRHq6r,Moonheart -VIP From Arcaea-,2018-04-29,9,0.418,0.86,7,-6.443,1,0.0609,0.00376,0.00291,0.299,0.367,180.035,audio_features,spotify:track:08SY0Wlo4i0aySKUKRHq6r,https://api.spotify.com/v1/tracks/08SY0Wlo4i0aySKUKRHq6r,https://api.spotify.com/v1/audio-analysis/08SY0Wlo4i0aySKUKRHq6r,260361,4
0a3s3DL9jPcwMRs0x8GrX0,Cyaegha,2019-10-27,26,0.538,0.986,5,-2.757,0,0.199,0.00253,0.819,0.407,0.489,99.979,audio_features,spotify:track:0a3s3DL9jPcwMRs0x8GrX0,https://api.spotify.com/v1/tracks/0a3s3DL9jPcwMRs0x8GrX0,https://api.spotify.com/v1/audio-analysis/0a3s3DL9jPcwMRs0x8GrX0,140005,4
0Ad1oowH3vANLKem9QBqRk,Purgatorium,2019-10-27,0,0.403,0.969,4,-2.69,1,0.171,0.0167,0,0.367,0.275,149.931,audio_features,spotify:track:0Ad1oowH3vANLKem9QBqRk,https://api.spotify.com/v1/tracks/0Ad1oowH3vANLKem9QBqRk,https://api.spotify.com/v1/audio-analysis/0Ad1oowH3vANLKem9QBqRk,151200,4
0dpXu5Ljp7qwFVqJcidlj3,Surrender,2014-04-02,0,0.53,0.994,1,-4.625,1,0.494,1.04e-4,0.206,0.319,0.14,151.972,audio_features,spotify:track:0dpXu5Ljp7qwFVqJcidlj3,https://api.spotify.com/v1/tracks/0dpXu5Ljp7qwFVqJcidlj3,https://api.spotify.com/v1/audio-analysis/0dpXu5Ljp7qwFVqJcidlj3,320166,4
0E2OJXJqfxb7aEN3h7GfDC,ブランニューワールド,2017-06-30,6,0.654,0.828,2,-5.506,1,0.0452,0.676,0,0.354,0.938,160.107,audio_features,spotify:track:0E2OJXJqfxb7aEN3h7GfDC,https://api.spotify.com/v1/tracks/0E2OJXJqfxb7aEN3h7GfDC,https://api.spotify.com/v1/audio-analysis/0E2OJXJqfxb7aEN3h7GfDC,217273,4
0GS2cxmZOpRhclVwUeXp0C,Tempestissimo,2020-06-11,25,0.456,0.94,6,-5.462,1,0.0812,3.15e-4,0.88,0.0556,0.214,115.531,audio_features,spotify:track:0GS2cxmZOpRhclVwUeXp0C,https://api.spotify.com/v1/tracks/0GS2cxmZOpRhclVwUeXp0C,https://api.spotify.com/v1/audio-analysis/0GS2cxmZOpRhclVwUeXp0C,138377,4
0GWb4HGqvwSlQFaWNHicng,carmine:scythe,2020-10-26,15,0.366,0.964,8,-3.222,0,0.124,1.37e-4,0.388,0.369,0.372,165.089,audio_features,spotify:track:0GWb4HGqvwSlQFaWNHicng,https://api.spotify.com/v1/tracks/0GWb4HGqvwSlQFaWNHicng,https://api.spotify.com/v1/audio-analysis/0GWb4HGqvwSlQFaWNHicng,140000,3
0h34TrJgsJUwPyq17HIfx2,Black Territory,2019-03-24,8,0.374,0.997,7,-0.953,1,0.195,0.00654,0.761,0.435,0.266,200.031,audio_features,spotify:track:0h34TrJgsJUwPyq17HIfx2,https://api.spotify.com/v1/tracks/0h34TrJgsJUwPyq17HIfx2,https://api.spotify.com/v1/audio-analysis/0h34TrJgsJUwPyq17HIfx2,139464,4
