row.names(all_summ_num),avg_pop,avg_dance,avg_enrg,avg_loud,avg_speech,avg_acoust,avg_inst,avg_live,avg_val,avg_temp,avg_dur,prop_major
ADOFAI,28.19118,0.4357059,0.8885735,-4.373441,0.19675882,0.07569625,0.339055218,0.2469029,0.2419265,134.367,252025.5,0.5588235
Arcaea,15.03521,0.4588451,0.9262676,-4.755648,0.14608099,0.03490546,0.432783225,0.2422225,0.3552021,140.9618,181566.1,0.5352113
Beat Saber,52.28859,0.6010872,0.8395638,-4.384456,0.11296779,0.05901405,0.157451588,0.2351866,0.4748772,130.8046,206670.2,0.5503356
Cytus,18.98378,0.4587243,0.8219027,-7.366741,0.08403946,0.08805723,0.370369205,0.2144924,0.4332076,137.7696,157686.9,0.5621622
Cytus II,19.3913,0.5048814,0.868004,-5.211012,0.09835415,0.0936742,0.31522508,0.2112012,0.4317949,136.8855,197463.8,0.5573123
Deemo,24.8169,0.4851127,0.6250648,-9.385099,0.0471,0.42538699,0.494028787,0.1788056,0.3828282,131.3907,200832,0.6197183
Deemo II,18.22222,0.5390444,0.4293267,-11.178933,0.04021556,0.75222,0.496258854,0.17108,0.3499311,126.0842,183515.3,0.7555556
FNF,35,0.5953936,0.767,-7.746255,0.08650638,0.15957449,0.460601259,0.1569383,0.6476426,135.4402,124486.5,0.5
JS&B,28.91071,0.5560179,0.8814643,-5.054589,0.09211964,0.0291788,0.541314581,0.2242393,0.4406411,132.454,235898.2,0.4642857
KALPA,13.22414,0.461431,0.8750379,-5.062138,0.12602241,0.08872145,0.463645967,0.218969,0.3975603,143.8987,202506.2,0.4310345
Lanota,11.27586,0.4797069,0.8827759,-4.98181,0.09841034,0.07233647,0.277837949,0.2035362,0.4594948,143.7097,232237,0.5689655
Muse Dash,24.88953,0.5311453,0.9105698,-4.253459,0.1081843,0.04532328,0.322433271,0.2264297,0.5301395,141.5305,198155.2,0.5465116
Musynx,17.375,0.48065,0.914175,-4.2693,0.097145,0.02335032,0.3231632,0.2422475,0.4542625,140.0713,205777.5,0.5
Phigros,17.2,0.54064,0.91238,-4.6672,0.121054,0.03325919,0.357666555,0.233756,0.460492,141.1374,192460.2,0.52
Voez,14.61364,0.4916439,0.8309773,-6.215765,0.09281212,0.13708375,0.394442621,0.2151121,0.4268455,134.9326,190198.7,0.530303
Billboard 100,78.0198,0.6718416,0.6598911,-6.008139,0.11739406,0.1849835,2.93685e-4,0.1761149,0.5475347,124.9594,194309.1,0.5940594
Top 100 Streamed,59.25,0.65469,0.61845,-6.13865,0.097647,0.24917242,0.004094706,0.164823,0.4932,119.5938,209729,0.61
