id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
04aAxqtGp5pv12UXAg4pkq,Centuries,2015-01-20,80,0.393,0.858,4,-2.868,0,0.0729,0.00359,0,0.102,0.56,176.042,audio_features,spotify:track:04aAxqtGp5pv12UXAg4pkq,https://api.spotify.com/v1/tracks/04aAxqtGp5pv12UXAg4pkq,https://api.spotify.com/v1/audio-analysis/04aAxqtGp5pv12UXAg4pkq,228360,4
07KWVrJNA3syFG2aTx9nJw,Famous,2020-03-26,27,0.729,0.903,8,-5.257,0,0.042,0.343,0.00178,0.105,0.741,119.016,audio_features,spotify:track:07KWVrJNA3syFG2aTx9nJw,https://api.spotify.com/v1/tracks/07KWVrJNA3syFG2aTx9nJw,https://api.spotify.com/v1/audio-analysis/07KWVrJNA3syFG2aTx9nJw,201744,4
09gRqhj5Jj4HQG8BKc4CkG,One Hope (ft. David Binney),2018-12-14,35,0.522,0.908,1,-4.281,1,0.0411,5.84e-4,0.00323,0.166,0.549,145.029,audio_features,spotify:track:09gRqhj5Jj4HQG8BKc4CkG,https://api.spotify.com/v1/tracks/09gRqhj5Jj4HQG8BKc4CkG,https://api.spotify.com/v1/audio-analysis/09gRqhj5Jj4HQG8BKc4CkG,241655,4
0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance",2005-05-03,74,0.622,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.452,audio_features,spotify:track:0a7BloCiNzLDD9qSQHh5m7,https://api.spotify.com/v1/tracks/0a7BloCiNzLDD9qSQHh5m7,https://api.spotify.com/v1/audio-analysis/0a7BloCiNzLDD9qSQHh5m7,180267,4
0crWBrpRLkMHmOgYq8CXsV,I Wanna Be A Machine,2022-03-08,56,0.604,0.866,2,-3.48,0,0.0885,0.00258,0,0.313,0.488,128.007,audio_features,spotify:track:0crWBrpRLkMHmOgYq8CXsV,https://api.spotify.com/v1/tracks/0crWBrpRLkMHmOgYq8CXsV,https://api.spotify.com/v1/audio-analysis/0crWBrpRLkMHmOgYq8CXsV,205645,4
0E1RL6rKe18aUq70B2fgXs,Till It's Over,2013-12-30,0,0.61,0.836,7,-6.428,0,0.089,0.123,0,0.164,0.329,110.025,audio_features,spotify:track:0E1RL6rKe18aUq70B2fgXs,https://api.spotify.com/v1/tracks/0E1RL6rKe18aUq70B2fgXs,https://api.spotify.com/v1/audio-analysis/0E1RL6rKe18aUq70B2fgXs,270545,4
0fwKu2qDEmNZF9JyqRcN2L,Balearic Pumping,2018-05-01,36,0.776,0.899,8,-5.561,0,0.0402,1.31e-4,0.882,0.0527,0.323,110.99,audio_features,spotify:track:0fwKu2qDEmNZF9JyqRcN2L,https://api.spotify.com/v1/tracks/0fwKu2qDEmNZF9JyqRcN2L,https://api.spotify.com/v1/audio-analysis/0fwKu2qDEmNZF9JyqRcN2L,134601,4
0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,2011-01-01,68,0.75,0.727,5,-4.21,0,0.142,0.0189,0,0.266,0.359,129.993,audio_features,spotify:track:0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/tracks/0IkKz2J93C94Ei4BvDop7P,https://api.spotify.com/v1/audio-analysis/0IkKz2J93C94Ei4BvDop7P,262173,4
0iOt2f35URQts5SDyNIfYA,LUDICROUS+,2021-03-18,39,0.783,0.941,1,-2.075,1,0.096,0.00404,0.332,0.194,0.546,130.018,audio_features,spotify:track:0iOt2f35URQts5SDyNIfYA,https://api.spotify.com/v1/tracks/0iOt2f35URQts5SDyNIfYA,https://api.spotify.com/v1/audio-analysis/0iOt2f35URQts5SDyNIfYA,112615,4
0JNdS1n0ifOP25XvhwAMgM,The Edge Of Glory,2011-01-01,62,0.581,0.772,9,-6.544,1,0.0401,3.43e-4,0.0191,0.11,0.361,127.952,audio_features,spotify:track:0JNdS1n0ifOP25XvhwAMgM,https://api.spotify.com/v1/tracks/0JNdS1n0ifOP25XvhwAMgM,https://api.spotify.com/v1/audio-analysis/0JNdS1n0ifOP25XvhwAMgM,320587,4
0M9sEebLoVR5aeRcsExon9,Beat Saber,2018-05-01,45,0.457,0.898,11,-3.803,0,0.0419,3.43e-4,0.895,0.0832,0.387,166.092,audio_features,spotify:track:0M9sEebLoVR5aeRcsExon9,https://api.spotify.com/v1/tracks/0M9sEebLoVR5aeRcsExon9,https://api.spotify.com/v1/audio-analysis/0M9sEebLoVR5aeRcsExon9,115663,4
0pqnGHJpmpxLKifKRmU6WP,Believer,2017-06-23,86,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,audio_features,spotify:track:0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP,https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP,204347,4
0SiywuOBRcynK0uKGWdCnn,Bad Romance,2009-11-05,80,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-5,0.0842,0.714,119.001,audio_features,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573,4
0sJKDI7HlmUkvvELi9Eter,Final-Boss-Chan,2022-03-08,40,0.278,0.974,10,-1.345,1,0.274,0.00204,0.0109,0.354,0.271,160.832,audio_features,spotify:track:0sJKDI7HlmUkvvELi9Eter,https://api.spotify.com/v1/tracks/0sJKDI7HlmUkvvELi9Eter,https://api.spotify.com/v1/audio-analysis/0sJKDI7HlmUkvvELi9Eter,206460,4
0u1v8aRDxsxBCsrlv6dVPf,FitBeat,2020-04-08,37,0.687,0.918,0,-5.371,1,0.0878,0.00329,0.414,0.741,0.213,107.468,audio_features,spotify:track:0u1v8aRDxsxBCsrlv6dVPf,https://api.spotify.com/v1/tracks/0u1v8aRDxsxBCsrlv6dVPf,https://api.spotify.com/v1/audio-analysis/0u1v8aRDxsxBCsrlv6dVPf,112000,4
0UFDKFqW2oGspYeYqo9wjA,Bleed It Out,2007-05-14,73,0.529,0.967,1,-3.647,0,0.0508,0.114,0,0.61,0.596,140.127,audio_features,spotify:track:0UFDKFqW2oGspYeYqo9wjA,https://api.spotify.com/v1/tracks/0UFDKFqW2oGspYeYqo9wjA,https://api.spotify.com/v1/audio-analysis/0UFDKFqW2oGspYeYqo9wjA,166373,4
0vwxQOCiFsreHMx1UzuNv5,Give A Little Love,2019-08-29,31,0.58,0.968,5,-4.825,0,0.0529,0.00177,0.522,0.0526,0.643,128.085,audio_features,spotify:track:0vwxQOCiFsreHMx1UzuNv5,https://api.spotify.com/v1/tracks/0vwxQOCiFsreHMx1UzuNv5,https://api.spotify.com/v1/audio-analysis/0vwxQOCiFsreHMx1UzuNv5,165000,4
0WBoNTForFJonXKPhpi78t,Escape (ft. Summer Haze),2018-05-01,46,0.477,0.917,9,-3.929,0,0.0442,8.28e-4,0.00353,0.349,0.377,174.951,audio_features,spotify:track:0WBoNTForFJonXKPhpi78t,https://api.spotify.com/v1/tracks/0WBoNTForFJonXKPhpi78t,https://api.spotify.com/v1/audio-analysis/0WBoNTForFJonXKPhpi78t,161829,4
0Ww4xWSspmcAO6N8zzaR3d,Exit This Earth's Atomosphere,2015-08-16,47,0.436,0.952,6,-2.58,1,0.372,0.00581,0.155,0.59,0.122,170.082,audio_features,spotify:track:0Ww4xWSspmcAO6N8zzaR3d,https://api.spotify.com/v1/tracks/0Ww4xWSspmcAO6N8zzaR3d,https://api.spotify.com/v1/audio-analysis/0Ww4xWSspmcAO6N8zzaR3d,332000,4
0XvUC7XsxvXl6U3jblqm2y,I Need You,2018-11-21,38,0.477,0.98,7,-6.113,1,0.0592,0.00118,0.76,0.397,0.224,192.076,audio_features,spotify:track:0XvUC7XsxvXl6U3jblqm2y,https://api.spotify.com/v1/tracks/0XvUC7XsxvXl6U3jblqm2y,https://api.spotify.com/v1/audio-analysis/0XvUC7XsxvXl6U3jblqm2y,131018,3
0zDAH9Vyi1JsJCTrzaIEnv,Be There For You,2018-11-21,45,0.635,0.658,4,-5.892,0,0.0575,0.377,0,0.149,0.237,125.928,audio_features,spotify:track:0zDAH9Vyi1JsJCTrzaIEnv,https://api.spotify.com/v1/tracks/0zDAH9Vyi1JsJCTrzaIEnv,https://api.spotify.com/v1/audio-analysis/0zDAH9Vyi1JsJCTrzaIEnv,172500,4
