id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),2021-11-05,86,0.687,0.781,1,-4.806,1,0.053,0.0361,0,0.0755,0.688,97.014,audio_features,spotify:track:00Blm7zeNqgYLPtW6zg8cj,https://api.spotify.com/v1/tracks/00Blm7zeNqgYLPtW6zg8cj,https://api.spotify.com/v1/audio-analysis/00Blm7zeNqgYLPtW6zg8cj,193507,4
03kCiUPjdAV9ur9ugm8PQT,Never Say Never (with Lainey Wilson),2021-11-18,71,0.472,0.937,0,-4.028,0,0.0567,0.00717,0,0.11,0.454,140.073,audio_features,spotify:track:03kCiUPjdAV9ur9ugm8PQT,https://api.spotify.com/v1/tracks/03kCiUPjdAV9ur9ugm8PQT,https://api.spotify.com/v1/audio-analysis/03kCiUPjdAV9ur9ugm8PQT,176147,4
08SB2OtZkaliju77WYEKxk,No Love (with SZA),2021-11-05,77,0.707,0.618,1,-5.825,0,0.19,0.17,0,0.293,0.517,133.876,audio_features,spotify:track:08SB2OtZkaliju77WYEKxk,https://api.spotify.com/v1/tracks/08SB2OtZkaliju77WYEKxk,https://api.spotify.com/v1/audio-analysis/08SB2OtZkaliju77WYEKxk,231498,4
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,2021-09-17,91,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,audio_features,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,2021-10-14,88,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,audio_features,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,224695,4
0HqZX76SFLDz2aW8aiqi7G,Bones,2022-03-11,87,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,audio_features,spotify:track:0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/audio-analysis/0HqZX76SFLDz2aW8aiqi7G,165265,4
0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,2022-02-04,87,0.614,0.644,2,-5.372,0,0.0426,0.0134,7.07e-6,0.117,0.651,160.036,audio_features,spotify:track:0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/tracks/0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/audio-analysis/0IuVhCflrQPMGRrOyoY5RW,206772,4
0k4d5YPDr1r7FX77VdqWez,You Right,2021-06-25,85,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,audio_features,spotify:track:0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/tracks/0k4d5YPDr1r7FX77VdqWez,https://api.spotify.com/v1/audio-analysis/0k4d5YPDr1r7FX77VdqWez,186173,4
0lEjxUUlKqjqXrVlIHFduD,P power (feat. Drake),2022-01-13,80,0.828,0.591,1,-6.217,1,0.109,0.0199,3.23e-4,0.361,0.202,119.251,audio_features,spotify:track:0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/tracks/0lEjxUUlKqjqXrVlIHFduD,https://api.spotify.com/v1/audio-analysis/0lEjxUUlKqjqXrVlIHFduD,193347,4
0oA9wBGDY4uyILLg4GymWP,Tom's Diner,2019-06-28,85,0.68,0.428,6,-8.107,0,0.135,0.376,3.44e-4,0.355,0.334,98.222,audio_features,spotify:track:0oA9wBGDY4uyILLg4GymWP,https://api.spotify.com/v1/tracks/0oA9wBGDY4uyILLg4GymWP,https://api.spotify.com/v1/audio-analysis/0oA9wBGDY4uyILLg4GymWP,269333,4
0P2P1AxcRYhiZvoF5MyRmM,Rumors (feat. Lil Durk),2022-01-25,78,0.688,0.842,2,-4.211,1,0.264,0.0499,0,0.241,0.416,159.897,audio_features,spotify:track:0P2P1AxcRYhiZvoF5MyRmM,https://api.spotify.com/v1/tracks/0P2P1AxcRYhiZvoF5MyRmM,https://api.spotify.com/v1/audio-analysis/0P2P1AxcRYhiZvoF5MyRmM,185856,4
0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),2022-03-04,91,0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,0.956,94.996,audio_features,spotify:track:0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/tracks/0QBzMgT7NIeoCYy3sJCof1,https://api.spotify.com/v1/audio-analysis/0QBzMgT7NIeoCYy3sJCof1,206071,4
