id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
00GouG1O6jWRYy8Yx6Mfs9,Tondari-Hanetari,2018-07-12,17,0.334,0.759,9,-5.28,0,0.0439,0.029,0.138,0.13,0.231,175.791,audio_features,spotify:track:00GouG1O6jWRYy8Yx6Mfs9,https://api.spotify.com/v1/tracks/00GouG1O6jWRYy8Yx6Mfs9,https://api.spotify.com/v1/audio-analysis/00GouG1O6jWRYy8Yx6Mfs9,140170,4
00YlPiUM9NYPMeZxPuHbpw,Baptism of Fire (CliqTrack Remix),2018-07-12,35,0.604,0.912,7,-3.621,0,0.113,0.0562,2.45e-5,0.114,0.245,139.992,audio_features,spotify:track:00YlPiUM9NYPMeZxPuHbpw,https://api.spotify.com/v1/tracks/00YlPiUM9NYPMeZxPuHbpw,https://api.spotify.com/v1/audio-analysis/00YlPiUM9NYPMeZxPuHbpw,172871,4
01Ur9YwN4FFvIEiFv7juoc,XYZ,2021-10-31,10,0.151,0.924,8,-2.041,1,0.0811,0.00936,0.421,0.211,0.391,204.718,audio_features,spotify:track:01Ur9YwN4FFvIEiFv7juoc,https://api.spotify.com/v1/tracks/01Ur9YwN4FFvIEiFv7juoc,https://api.spotify.com/v1/audio-analysis/01Ur9YwN4FFvIEiFv7juoc,153000,4
044Zn9AfTAwACRqu15vvp5,Inspion,2018-12-28,20,0.393,0.984,11,-3.714,0,0.203,8.12e-5,0.768,0.296,0.149,147.948,audio_features,spotify:track:044Zn9AfTAwACRqu15vvp5,https://api.spotify.com/v1/tracks/044Zn9AfTAwACRqu15vvp5,https://api.spotify.com/v1/audio-analysis/044Zn9AfTAwACRqu15vvp5,156125,4
05sTpMZCVJbG0VOYomBolH,Darling Staring… - Long Version,2019-10-29,7,0.323,0.98,10,-0.684,0,0.234,0.00156,2.38e-4,0.115,0.368,127.251,audio_features,spotify:track:05sTpMZCVJbG0VOYomBolH,https://api.spotify.com/v1/tracks/05sTpMZCVJbG0VOYomBolH,https://api.spotify.com/v1/audio-analysis/05sTpMZCVJbG0VOYomBolH,193947,5
06t6CBCGWBUgO4RhmZggld,What's Your PR.Ice? (Original Rhythm Game Soundtrack) [feat. Kry.Exe],2019-06-08,15,0.429,0.93,6,-4.033,1,0.0517,0.00866,0.677,0.027,0.491,89.943,audio_features,spotify:track:06t6CBCGWBUgO4RhmZggld,https://api.spotify.com/v1/tracks/06t6CBCGWBUgO4RhmZggld,https://api.spotify.com/v1/audio-analysis/06t6CBCGWBUgO4RhmZggld,134938,4
08qNhgPiYXYQyvTM1vfirN,dimensionalize nervous breakdown,2020-07-03,18,0.182,0.918,6,-10.573,0,0.0832,0.00878,0.814,0.336,0.509,176.05,audio_features,spotify:track:08qNhgPiYXYQyvTM1vfirN,https://api.spotify.com/v1/tracks/08qNhgPiYXYQyvTM1vfirN,https://api.spotify.com/v1/audio-analysis/08qNhgPiYXYQyvTM1vfirN,158636,4
09RdvuXf7D1laTvgBDuTC5,Cristalisia,2019-01-21,28,0.278,0.845,4,-6.083,0,0.0562,0.0809,0.00516,0.415,0.307,132.306,audio_features,spotify:track:09RdvuXf7D1laTvgBDuTC5,https://api.spotify.com/v1/tracks/09RdvuXf7D1laTvgBDuTC5,https://api.spotify.com/v1/audio-analysis/09RdvuXf7D1laTvgBDuTC5,140653,4
0bbCW8cITjGg3CpCLamfie,漂流 - CytusII.ver,2019-10-09,17,0.512,0.763,6,-4.818,0,0.138,0.244,0,0.163,0.353,145.08,audio_features,spotify:track:0bbCW8cITjGg3CpCLamfie,https://api.spotify.com/v1/tracks/0bbCW8cITjGg3CpCLamfie,https://api.spotify.com/v1/audio-analysis/0bbCW8cITjGg3CpCLamfie,168519,4
0BmBHScjjoSO1k7v9bfUZv,Shiro (Cytus II),2019-09-04,14,0.549,0.945,4,-6.625,0,0.0416,8.5e-6,0.83,0.327,0.394,132.017,audio_features,spotify:track:0BmBHScjjoSO1k7v9bfUZv,https://api.spotify.com/v1/tracks/0BmBHScjjoSO1k7v9bfUZv,https://api.spotify.com/v1/audio-analysis/0BmBHScjjoSO1k7v9bfUZv,154545,4
0bs6GDM1pS7ylYoLBmVxhf,Perspectives,2020-12-25,29,0.44,0.727,9,-4.767,0,0.109,0.0864,3.16e-5,0.125,0.309,105,audio_features,spotify:track:0bs6GDM1pS7ylYoLBmVxhf,https://api.spotify.com/v1/tracks/0bs6GDM1pS7ylYoLBmVxhf,https://api.spotify.com/v1/audio-analysis/0bs6GDM1pS7ylYoLBmVxhf,310857,4
0CDyDpJWaGPw0rFP1pPs2G,Accelerator - Extended Ver.,2021-01-09,8,0.702,0.983,7,-3.529,1,0.173,0.00118,0.056,0.0734,0.375,149.967,audio_features,spotify:track:0CDyDpJWaGPw0rFP1pPs2G,https://api.spotify.com/v1/tracks/0CDyDpJWaGPw0rFP1pPs2G,https://api.spotify.com/v1/audio-analysis/0CDyDpJWaGPw0rFP1pPs2G,238500,4
0CnFfzR68NBPqcBmjORQu8,Hop Step Adventure☆,2016-05-26,15,0.5,0.981,5,-4.003,0,0.15,4.67e-4,0.837,0.183,0.611,180.024,audio_features,spotify:track:0CnFfzR68NBPqcBmjORQu8,https://api.spotify.com/v1/tracks/0CnFfzR68NBPqcBmjORQu8,https://api.spotify.com/v1/audio-analysis/0CnFfzR68NBPqcBmjORQu8,122769,4
0CzWTpiftgm78rJJ2BN5zY,Break Free,2021-01-01,17,0.595,0.94,1,-4.404,1,0.108,7.09e-4,0,0.0873,0.594,100.023,audio_features,spotify:track:0CzWTpiftgm78rJJ2BN5zY,https://api.spotify.com/v1/tracks/0CzWTpiftgm78rJJ2BN5zY,https://api.spotify.com/v1/audio-analysis/0CzWTpiftgm78rJJ2BN5zY,223171,4
