id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
00GouG1O6jWRYy8Yx6Mfs9,Tondari-Hanetari,2018-07-12,17,0.334,0.759,9,-5.28,0,0.0439,0.029,0.138,0.13,0.231,175.791,audio_features,spotify:track:00GouG1O6jWRYy8Yx6Mfs9,https://api.spotify.com/v1/tracks/00GouG1O6jWRYy8Yx6Mfs9,https://api.spotify.com/v1/audio-analysis/00GouG1O6jWRYy8Yx6Mfs9,140170,4
00YlPiUM9NYPMeZxPuHbpw,Baptism of Fire (CliqTrack Remix),2018-07-12,35,0.604,0.912,7,-3.621,0,0.113,0.0562,2.45e-5,0.114,0.245,139.992,audio_features,spotify:track:00YlPiUM9NYPMeZxPuHbpw,https://api.spotify.com/v1/tracks/00YlPiUM9NYPMeZxPuHbpw,https://api.spotify.com/v1/audio-analysis/00YlPiUM9NYPMeZxPuHbpw,172871,4
022CULqNihJV2OElWqki7r,Ververg Symphony,2015-01-31,17,0.39,0.76,7,-7.504,1,0.0628,0.0149,0,0.317,0.667,155.018,audio_features,spotify:track:022CULqNihJV2OElWqki7r,https://api.spotify.com/v1/tracks/022CULqNihJV2OElWqki7r,https://api.spotify.com/v1/audio-analysis/022CULqNihJV2OElWqki7r,109693,4
044Zn9AfTAwACRqu15vvp5,Inspion,2018-12-28,20,0.393,0.984,11,-3.714,0,0.203,8.12e-5,0.768,0.296,0.149,147.948,audio_features,spotify:track:044Zn9AfTAwACRqu15vvp5,https://api.spotify.com/v1/tracks/044Zn9AfTAwACRqu15vvp5,https://api.spotify.com/v1/audio-analysis/044Zn9AfTAwACRqu15vvp5,156125,4
04JWcjbiRcA2PfhbOXnQzz,Outsider,2015-09-21,16,0.549,0.68,7,-8.683,1,0.0346,0.00395,0.363,0.388,0.581,139.993,audio_features,spotify:track:04JWcjbiRcA2PfhbOXnQzz,https://api.spotify.com/v1/tracks/04JWcjbiRcA2PfhbOXnQzz,https://api.spotify.com/v1/audio-analysis/04JWcjbiRcA2PfhbOXnQzz,132406,4
05FGAKbhxq8swICeMGfnCp,Sweetness and Love (3 R2 vs. DJ Mashiro),2013-12-10,18,0.311,0.941,1,-7.966,1,0.0561,2.23e-4,0.748,0.377,0.512,178.071,audio_features,spotify:track:05FGAKbhxq8swICeMGfnCp,https://api.spotify.com/v1/tracks/05FGAKbhxq8swICeMGfnCp,https://api.spotify.com/v1/audio-analysis/05FGAKbhxq8swICeMGfnCp,120933,4
07dc3UKJNfcralY2oc6M8c,Predawn,2016-05-04,22,0.472,0.791,0,-9.883,1,0.0621,0.00286,0.0196,0.364,0.475,140.007,audio_features,spotify:track:07dc3UKJNfcralY2oc6M8c,https://api.spotify.com/v1/tracks/07dc3UKJNfcralY2oc6M8c,https://api.spotify.com/v1/audio-analysis/07dc3UKJNfcralY2oc6M8c,135013,4
0bhKcyPlzSmW6s3Fmo65sD,Music the Eternity of Us,2016-05-04,19,0.542,0.646,2,-6.845,0,0.042,0.665,9.64e-5,0.133,0.613,102.072,audio_features,spotify:track:0bhKcyPlzSmW6s3Fmo65sD,https://api.spotify.com/v1/tracks/0bhKcyPlzSmW6s3Fmo65sD,https://api.spotify.com/v1/audio-analysis/0bhKcyPlzSmW6s3Fmo65sD,182862,4
0BvYZiRFtj8oaD9AGWA0YI,Adventure,2016-06-17,11,0.587,0.479,8,-8.443,1,0.0327,0.0134,0.169,0.0655,0.559,93.992,audio_features,spotify:track:0BvYZiRFtj8oaD9AGWA0YI,https://api.spotify.com/v1/tracks/0BvYZiRFtj8oaD9AGWA0YI,https://api.spotify.com/v1/audio-analysis/0BvYZiRFtj8oaD9AGWA0YI,131866,1
0hZ0C5kItypl1ipkZFmHVC,The World of Tune: Tones and Souls,2015-09-21,16,0.214,0.66,4,-10.15,0,0.0467,7.89e-4,0.628,0.0603,0.0856,108.652,audio_features,spotify:track:0hZ0C5kItypl1ipkZFmHVC,https://api.spotify.com/v1/tracks/0hZ0C5kItypl1ipkZFmHVC,https://api.spotify.com/v1/audio-analysis/0hZ0C5kItypl1ipkZFmHVC,217415,4
0IKE8Yf0uxbdpUMzlEz6QT,Aboriginal,2016-06-10,7,0.606,0.311,2,-12.009,1,0.0314,0.945,0.915,0.791,0.63,173.537,audio_features,spotify:track:0IKE8Yf0uxbdpUMzlEz6QT,https://api.spotify.com/v1/tracks/0IKE8Yf0uxbdpUMzlEz6QT,https://api.spotify.com/v1/audio-analysis/0IKE8Yf0uxbdpUMzlEz6QT,137757,4
0Kaa31hrCDCcY7Z0sGrafz,Penglaimovement,2016-06-10,10,0.403,0.748,6,-9.513,0,0.0516,0.488,0.622,0.414,0.184,157.509,audio_features,spotify:track:0Kaa31hrCDCcY7Z0sGrafz,https://api.spotify.com/v1/tracks/0Kaa31hrCDCcY7Z0sGrafz,https://api.spotify.com/v1/audio-analysis/0Kaa31hrCDCcY7Z0sGrafz,134850,4
0kG7LSpVq5Io43Z3EUI5k9,Make U Mine (Cytus II),2018-10-03,11,0.689,0.943,10,-3.304,1,0.15,0.0817,0.00374,0.136,0.282,156.941,audio_features,spotify:track:0kG7LSpVq5Io43Z3EUI5k9,https://api.spotify.com/v1/tracks/0kG7LSpVq5Io43Z3EUI5k9,https://api.spotify.com/v1/audio-analysis/0kG7LSpVq5Io43Z3EUI5k9,152866,4
0KmndG5OZtQTNy91cEM3VI,Evil Force,2015-09-21,8,0.195,0.873,11,-8.857,0,0.0711,7.2e-5,1.21e-6,0.0822,0.0961,89.398,audio_features,spotify:track:0KmndG5OZtQTNy91cEM3VI,https://api.spotify.com/v1/tracks/0KmndG5OZtQTNy91cEM3VI,https://api.spotify.com/v1/audio-analysis/0KmndG5OZtQTNy91cEM3VI,141867,4
