id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
02piZ11jyAw56vm7qozXRf,Halzion,2022-02-16,12,0.778,0.626,11,-6.44,0,0.0269,0.249,0.0114,0.274,0.628,135.015,audio_features,spotify:track:02piZ11jyAw56vm7qozXRf,https://api.spotify.com/v1/tracks/02piZ11jyAw56vm7qozXRf,https://api.spotify.com/v1/audio-analysis/02piZ11jyAw56vm7qozXRf,142317,4
0AgcZs1r4lb5Sedh42f7W4,反映,2022-02-16,14,0.486,0.269,2,-10.315,1,0.0439,0.975,0.836,0.153,0.117,179.997,audio_features,spotify:track:0AgcZs1r4lb5Sedh42f7W4,https://api.spotify.com/v1/tracks/0AgcZs1r4lb5Sedh42f7W4,https://api.spotify.com/v1/audio-analysis/0AgcZs1r4lb5Sedh42f7W4,147302,4
0e4coGAs6RlbiP2d4LOQfE,After The Rain,2022-02-16,14,0.729,0.483,2,-9.579,1,0.0415,0.985,0.87,0.13,0.627,114.079,audio_features,spotify:track:0e4coGAs6RlbiP2d4LOQfE,https://api.spotify.com/v1/tracks/0e4coGAs6RlbiP2d4LOQfE,https://api.spotify.com/v1/audio-analysis/0e4coGAs6RlbiP2d4LOQfE,159219,4
0FPJzRWznfkXWkA2PC09xO,Echo over you…,2022-02-16,20,0.579,0.48,2,-9.113,1,0.0312,0.959,0.926,0.122,0.426,97.063,audio_features,spotify:track:0FPJzRWznfkXWkA2PC09xO,https://api.spotify.com/v1/tracks/0FPJzRWznfkXWkA2PC09xO,https://api.spotify.com/v1/audio-analysis/0FPJzRWznfkXWkA2PC09xO,158452,4
0gFJdOckCUVzeCC6zPq57l,Rain Lily,2022-02-16,14,0.656,0.449,3,-12.687,1,0.0547,0.989,0.902,0.167,0.301,128.048,audio_features,spotify:track:0gFJdOckCUVzeCC6zPq57l,https://api.spotify.com/v1/tracks/0gFJdOckCUVzeCC6zPq57l,https://api.spotify.com/v1/audio-analysis/0gFJdOckCUVzeCC6zPq57l,154185,4
0H6oPPIs2pBte6EZcX6xOq,Endless Dreams (Instrumental),2022-01-21,18,0.264,0.215,1,-17.913,1,0.0311,0.968,0.896,0.205,0.0768,97.9,audio_features,spotify:track:0H6oPPIs2pBte6EZcX6xOq,https://api.spotify.com/v1/tracks/0H6oPPIs2pBte6EZcX6xOq,https://api.spotify.com/v1/audio-analysis/0H6oPPIs2pBte6EZcX6xOq,242798,4
0kUzKPBXdsG2j06OdI2deV,Delight of Life,2022-02-16,15,0.649,0.276,5,-13.24,1,0.0496,0.993,0.886,0.111,0.164,120.222,audio_features,spotify:track:0kUzKPBXdsG2j06OdI2deV,https://api.spotify.com/v1/tracks/0kUzKPBXdsG2j06OdI2deV,https://api.spotify.com/v1/audio-analysis/0kUzKPBXdsG2j06OdI2deV,148746,4
0nGFWbkFNHeASf39V02fJc,Flutter,2022-02-02,23,0.412,0.51,1,-8.479,0,0.0462,0.755,0.00166,0.122,0.122,145.892,audio_features,spotify:track:0nGFWbkFNHeASf39V02fJc,https://api.spotify.com/v1/tracks/0nGFWbkFNHeASf39V02fJc,https://api.spotify.com/v1/audio-analysis/0nGFWbkFNHeASf39V02fJc,147123,4
0TFk1QupUrBcV4SLjsRjJs,hydrangea,2021-07-01,11,0.503,0.614,8,-11.132,1,0.0318,0.199,0.00768,0.163,0.682,160.045,audio_features,spotify:track:0TFk1QupUrBcV4SLjsRjJs,https://api.spotify.com/v1/tracks/0TFk1QupUrBcV4SLjsRjJs,https://api.spotify.com/v1/audio-analysis/0TFk1QupUrBcV4SLjsRjJs,319619,4
0wEdlu9FBm2Avtf4wELVuK,Be Alive,2022-02-16,12,0.72,0.331,0,-10.847,1,0.0636,0.97,0.87,0.109,0.117,124.054,audio_features,spotify:track:0wEdlu9FBm2Avtf4wELVuK,https://api.spotify.com/v1/tracks/0wEdlu9FBm2Avtf4wELVuK,https://api.spotify.com/v1/audio-analysis/0wEdlu9FBm2Avtf4wELVuK,201400,3
1fnxVKxbBwa23m0okLg5xU,"Rain Carnation, Ruin Lilac",2022-02-16,14,0.558,0.572,7,-7.877,1,0.0334,0.949,0.912,0.195,0.665,147.418,audio_features,spotify:track:1fnxVKxbBwa23m0okLg5xU,https://api.spotify.com/v1/tracks/1fnxVKxbBwa23m0okLg5xU,https://api.spotify.com/v1/audio-analysis/1fnxVKxbBwa23m0okLg5xU,155449,4
1gRIVb13aghujieVLF38fg,Away from the rain,2022-02-16,19,0.384,0.334,5,-12.132,1,0.0666,0.974,0.851,0.101,0.123,138.004,audio_features,spotify:track:1gRIVb13aghujieVLF38fg,https://api.spotify.com/v1/tracks/1gRIVb13aghujieVLF38fg,https://api.spotify.com/v1/audio-analysis/1gRIVb13aghujieVLF38fg,224577,3
1RytJFzJ7OnO5ioRAuTHX8,春透明,2022-02-16,14,0.555,0.469,2,-9.927,1,0.0362,0.941,0.873,0.165,0.32,79.999,audio_features,spotify:track:1RytJFzJ7OnO5ioRAuTHX8,https://api.spotify.com/v1/tracks/1RytJFzJ7OnO5ioRAuTHX8,https://api.spotify.com/v1/audio-analysis/1RytJFzJ7OnO5ioRAuTHX8,142497,4
