id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
01n5Gzf6NE3IFqjWqkpgCv,YUBIKIRI-GENMAN,2014-09-24,34,0.566,0.282,5,-10.886,1,0.0342,0.883,1.27e-4,0.0672,0.396,73.001,audio_features,spotify:track:01n5Gzf6NE3IFqjWqkpgCv,https://api.spotify.com/v1/tracks/01n5Gzf6NE3IFqjWqkpgCv,https://api.spotify.com/v1/audio-analysis/01n5Gzf6NE3IFqjWqkpgCv,235832,4
07ND1KkEgMBxZdMKcHrNi2,Sanctity,2016-06-03,25,0.472,0.764,9,-9.101,0,0.0342,0.301,0.815,0.0573,0.278,163.981,audio_features,spotify:track:07ND1KkEgMBxZdMKcHrNi2,https://api.spotify.com/v1/tracks/07ND1KkEgMBxZdMKcHrNi2,https://api.spotify.com/v1/audio-analysis/07ND1KkEgMBxZdMKcHrNi2,243946,4
0KPwIpNf6XCIkuCvJEmxb4,Beyond the Stratus,2016-06-03,24,0.561,0.753,2,-9.744,1,0.0296,0.00786,0.69,0.212,0.242,130.99,audio_features,spotify:track:0KPwIpNf6XCIkuCvJEmxb4,https://api.spotify.com/v1/tracks/0KPwIpNf6XCIkuCvJEmxb4,https://api.spotify.com/v1/audio-analysis/0KPwIpNf6XCIkuCvJEmxb4,138321,4
0lALdrK2emIirLCxtDQKC2,Untitled2,2016-06-03,22,0.528,0.319,7,-11.227,1,0.0312,0.901,0.731,0.191,0.407,109.987,audio_features,spotify:track:0lALdrK2emIirLCxtDQKC2,https://api.spotify.com/v1/tracks/0lALdrK2emIirLCxtDQKC2,https://api.spotify.com/v1/audio-analysis/0lALdrK2emIirLCxtDQKC2,237812,4
0mL3Y3tSStVD9qiZtaSJwv,Sunset,2019-12-25,32,0.532,0.898,1,-5.579,1,0.0382,0.439,0.485,0.0701,0.561,90.022,audio_features,spotify:track:0mL3Y3tSStVD9qiZtaSJwv,https://api.spotify.com/v1/tracks/0mL3Y3tSStVD9qiZtaSJwv,https://api.spotify.com/v1/audio-analysis/0mL3Y3tSStVD9qiZtaSJwv,159018,4
0NPfLvpVMy5Gclqh6i2gHz,Witch's Invitation,2016-06-03,19,0.651,0.599,7,-10.53,1,0.0326,0.201,7.23e-6,0.101,0.483,131.981,audio_features,spotify:track:0NPfLvpVMy5Gclqh6i2gHz,https://api.spotify.com/v1/tracks/0NPfLvpVMy5Gclqh6i2gHz,https://api.spotify.com/v1/audio-analysis/0NPfLvpVMy5Gclqh6i2gHz,302844,4
0pwU5f6b530Jci8AjP1Y4N,Run Go Run,2016-06-03,26,0.515,0.921,1,-9.926,1,0.053,0.0158,0.61,0.168,0.874,180.021,audio_features,spotify:track:0pwU5f6b530Jci8AjP1Y4N,https://api.spotify.com/v1/tracks/0pwU5f6b530Jci8AjP1Y4N,https://api.spotify.com/v1/audio-analysis/0pwU5f6b530Jci8AjP1Y4N,159897,3
0v5ZWVsTO9IxsNfOolL57h,Rainy Memory,2016-06-03,26,0.547,0.691,4,-8.413,0,0.0278,0.465,0.783,0.145,0.609,134.95,audio_features,spotify:track:0v5ZWVsTO9IxsNfOolL57h,https://api.spotify.com/v1/tracks/0v5ZWVsTO9IxsNfOolL57h,https://api.spotify.com/v1/audio-analysis/0v5ZWVsTO9IxsNfOolL57h,214522,4
0YbiUqUFsO4LQfxjW8HWuH,Platinum,2016-06-03,27,0.435,0.171,4,-17.622,1,0.0345,0.917,0.951,0.12,0.136,100.057,audio_features,spotify:track:0YbiUqUFsO4LQfxjW8HWuH,https://api.spotify.com/v1/tracks/0YbiUqUFsO4LQfxjW8HWuH,https://api.spotify.com/v1/audio-analysis/0YbiUqUFsO4LQfxjW8HWuH,114129,4
0zP2ThEMVqzFUw6Aryofmg,I Hate to Tell You,2016-06-03,25,0.595,0.664,6,-11.91,1,0.0284,0.146,0.219,0.138,0.476,119.987,audio_features,spotify:track:0zP2ThEMVqzFUw6Aryofmg,https://api.spotify.com/v1/tracks/0zP2ThEMVqzFUw6Aryofmg,https://api.spotify.com/v1/audio-analysis/0zP2ThEMVqzFUw6Aryofmg,172875,4
0zWp0Ca0OKZayb3QsRG8Ow,Hua Sui Yue,2016-06-03,24,0.56,0.407,10,-11.767,0,0.0291,0.755,0.768,0.13,0.382,148.001,audio_features,spotify:track:0zWp0Ca0OKZayb3QsRG8Ow,https://api.spotify.com/v1/tracks/0zWp0Ca0OKZayb3QsRG8Ow,https://api.spotify.com/v1/audio-analysis/0zWp0Ca0OKZayb3QsRG8Ow,166246,4
0zZ6cPsPrWtgMm7RwHbzdd,H,2019-12-25,19,0.528,0.529,0,-10.317,0,0.0328,0.968,0.941,0.176,0.167,110.035,audio_features,spotify:track:0zZ6cPsPrWtgMm7RwHbzdd,https://api.spotify.com/v1/tracks/0zZ6cPsPrWtgMm7RwHbzdd,https://api.spotify.com/v1/audio-analysis/0zZ6cPsPrWtgMm7RwHbzdd,142821,4
15RyVImxuoHfJMJGG7cg0m,Deemo Main Theme,2016-06-03,24,0.565,0.651,0,-9.985,1,0.0296,0.314,0.914,0.104,0.33,134.997,audio_features,spotify:track:15RyVImxuoHfJMJGG7cg0m,https://api.spotify.com/v1/tracks/15RyVImxuoHfJMJGG7cg0m,https://api.spotify.com/v1/audio-analysis/15RyVImxuoHfJMJGG7cg0m,199996,4
1ggjcngilCID4vVkvb7jlz,Lune,2019-12-25,26,0.471,0.814,6,-7.017,1,0.0408,0.828,0.391,0.141,0.201,160.009,audio_features,spotify:track:1ggjcngilCID4vVkvb7jlz,https://api.spotify.com/v1/tracks/1ggjcngilCID4vVkvb7jlz,https://api.spotify.com/v1/audio-analysis/1ggjcngilCID4vVkvb7jlz,123004,4
1iO6NCI4T7DzDspVPSMcCz,Sakura Iro No Yume,2016-06-03,33,0.287,0.111,1,-13.202,1,0.0311,0.912,0,0.102,0.277,71.302,audio_features,spotify:track:1iO6NCI4T7DzDspVPSMcCz,https://api.spotify.com/v1/tracks/1iO6NCI4T7DzDspVPSMcCz,https://api.spotify.com/v1/audio-analysis/1iO6NCI4T7DzDspVPSMcCz,238018,4
1IqsaUeBRjrkEYwGy8v7lC,Poem of Rapture,2019-12-25,18,0.34,0.379,3,-9.648,1,0.035,0.981,0.882,0.25,0.304,167.799,audio_features,spotify:track:1IqsaUeBRjrkEYwGy8v7lC,https://api.spotify.com/v1/tracks/1IqsaUeBRjrkEYwGy8v7lC,https://api.spotify.com/v1/audio-analysis/1IqsaUeBRjrkEYwGy8v7lC,170795,3
1mSc9JFtJ89cV1EC2GygPa,Reverence (Deemo Ver),2019-12-25,19,0.595,0.871,1,-5.012,1,0.0632,0.00514,0.87,0.207,0.728,172.029,audio_features,spotify:track:1mSc9JFtJ89cV1EC2GygPa,https://api.spotify.com/v1/tracks/1mSc9JFtJ89cV1EC2GygPa,https://api.spotify.com/v1/audio-analysis/1mSc9JFtJ89cV1EC2GygPa,170268,4
1nwfNOc87ZigV6SCNm5yzN,Cerebrite,2019-12-25,19,0.576,0.833,5,-5.44,0,0.0309,0.508,3.23e-4,0.0644,0.572,147.97,audio_features,spotify:track:1nwfNOc87ZigV6SCNm5yzN,https://api.spotify.com/v1/tracks/1nwfNOc87ZigV6SCNm5yzN,https://api.spotify.com/v1/audio-analysis/1nwfNOc87ZigV6SCNm5yzN,160964,4
1s47GgkkThaZAqMmfw0fcy,Paper Plane's Adventure,2014-05-30,31,0.524,0.427,9,-12.036,1,0.0389,0.979,0.881,0.091,0.0799,119.468,audio_features,spotify:track:1s47GgkkThaZAqMmfw0fcy,https://api.spotify.com/v1/tracks/1s47GgkkThaZAqMmfw0fcy,https://api.spotify.com/v1/audio-analysis/1s47GgkkThaZAqMmfw0fcy,212829,4
1vmGJbBCB01dgMvv7v2fe8,Walking by the Sea,2016-06-03,24,0.42,0.268,5,-15.738,1,0.0405,0.977,0.907,0.0797,0.575,87.614,audio_features,spotify:track:1vmGJbBCB01dgMvv7v2fe8,https://api.spotify.com/v1/tracks/1vmGJbBCB01dgMvv7v2fe8,https://api.spotify.com/v1/audio-analysis/1vmGJbBCB01dgMvv7v2fe8,276076,4
26guhxf2Km9qZTiQMuwdWA,Snowflakes,2019-12-25,19,0.458,0.837,10,-3.525,0,0.032,0.0818,0.0137,0.367,0.27,87.516,audio_features,spotify:track:26guhxf2Km9qZTiQMuwdWA,https://api.spotify.com/v1/tracks/26guhxf2Km9qZTiQMuwdWA,https://api.spotify.com/v1/audio-analysis/26guhxf2Km9qZTiQMuwdWA,126295,4
2kAz2u7vjyJgqGbvdpMNqs,Sairai,2016-06-03,24,0.447,0.726,2,-8.103,1,0.0301,0.00314,0.924,0.26,0.165,95.017,audio_features,spotify:track:2kAz2u7vjyJgqGbvdpMNqs,https://api.spotify.com/v1/tracks/2kAz2u7vjyJgqGbvdpMNqs,https://api.spotify.com/v1/audio-analysis/2kAz2u7vjyJgqGbvdpMNqs,141902,3
2kSIZohEBKidUFGQt5APeM,Melody Of Elves / 精靈之歌,2009-01-01,26,0.187,0.187,0,-14.122,0,0.0373,0.88,0.876,0.25,0.051,185.516,audio_features,spotify:track:2kSIZohEBKidUFGQt5APeM,https://api.spotify.com/v1/tracks/2kSIZohEBKidUFGQt5APeM,https://api.spotify.com/v1/audio-analysis/2kSIZohEBKidUFGQt5APeM,372373,3
2l6UUnyUezCao72YLcen1q,Wings of Piano / 琴之翼,2010-06-15,36,0.443,0.721,4,-10.744,0,0.0362,0.402,0.852,0.155,0.489,168.023,audio_features,spotify:track:2l6UUnyUezCao72YLcen1q,https://api.spotify.com/v1/tracks/2l6UUnyUezCao72YLcen1q,https://api.spotify.com/v1/audio-analysis/2l6UUnyUezCao72YLcen1q,333253,4
2mbkOlNWPbJAXLiiVf2rYs,Daylight,2019-12-25,17,0.53,0.594,4,-7.366,0,0.0317,0.403,0.934,0.188,0.205,156.01,audio_features,spotify:track:2mbkOlNWPbJAXLiiVf2rYs,https://api.spotify.com/v1/tracks/2mbkOlNWPbJAXLiiVf2rYs,https://api.spotify.com/v1/audio-analysis/2mbkOlNWPbJAXLiiVf2rYs,175482,3
2rJdUJwcVnZX3lbOrrP1IV,Atlantis Love / 亞特蘭提斯之戀,2010-06-15,30,0.388,0.309,10,-12.116,0,0.0287,0.9,0.83,0.153,0.172,137.491,audio_features,spotify:track:2rJdUJwcVnZX3lbOrrP1IV,https://api.spotify.com/v1/tracks/2rJdUJwcVnZX3lbOrrP1IV,https://api.spotify.com/v1/audio-analysis/2rJdUJwcVnZX3lbOrrP1IV,354373,3
2y6k5APDqAlR1S8XZjFrGa,Ephemeral,2016-06-03,20,0.485,0.383,8,-14.001,1,0.0404,0.948,0.913,0.103,0.346,162.074,audio_features,spotify:track:2y6k5APDqAlR1S8XZjFrGa,https://api.spotify.com/v1/tracks/2y6k5APDqAlR1S8XZjFrGa,https://api.spotify.com/v1/audio-analysis/2y6k5APDqAlR1S8XZjFrGa,126460,4
37Z2gCXE9rT0Pp5e0H40Yf,La Promesse,2019-12-25,20,0.47,0.544,5,-5.696,1,0.0263,0.449,0.0196,0.136,0.186,81.917,audio_features,spotify:track:37Z2gCXE9rT0Pp5e0H40Yf,https://api.spotify.com/v1/tracks/37Z2gCXE9rT0Pp5e0H40Yf,https://api.spotify.com/v1/audio-analysis/37Z2gCXE9rT0Pp5e0H40Yf,266580,4
3B2KcUEWVIrou6KyXSMVgV,Magnolia,2016-06-03,38,0.442,0.814,5,-7.691,1,0.335,0.203,0,0.363,0.237,160.196,audio_features,spotify:track:3B2KcUEWVIrou6KyXSMVgV,https://api.spotify.com/v1/tracks/3B2KcUEWVIrou6KyXSMVgV,https://api.spotify.com/v1/audio-analysis/3B2KcUEWVIrou6KyXSMVgV,150013,4
3fsGlKCZocN50V6EZN4k0S,Saika,2016-06-03,36,0.607,0.876,4,-7.56,0,0.0312,1.98e-4,2.69e-4,0.372,0.667,127.997,audio_features,spotify:track:3fsGlKCZocN50V6EZN4k0S,https://api.spotify.com/v1/tracks/3fsGlKCZocN50V6EZN4k0S,https://api.spotify.com/v1/audio-analysis/3fsGlKCZocN50V6EZN4k0S,271036,4
3kLuFiuBi7MxVLM7DA0UZF,Farewell,2019-12-25,20,0.531,0.419,4,-7.285,0,0.0275,0.716,0.197,0.136,0.36,159.958,audio_features,spotify:track:3kLuFiuBi7MxVLM7DA0UZF,https://api.spotify.com/v1/tracks/3kLuFiuBi7MxVLM7DA0UZF,https://api.spotify.com/v1/audio-analysis/3kLuFiuBi7MxVLM7DA0UZF,135786,4
