id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0803MsgBmVMqDr4RQVNjNu,Neo Fresh,2021-02-07,32,0.907,0.644,0,-9.132,0,0.0544,0.0519,5.59e-5,0.106,0.65,120.041,audio_features,spotify:track:0803MsgBmVMqDr4RQVNjNu,https://api.spotify.com/v1/tracks/0803MsgBmVMqDr4RQVNjNu,https://api.spotify.com/v1/audio-analysis/0803MsgBmVMqDr4RQVNjNu,77161,4
0qDF8zVwQPEXNB8OVozS46,Carol Roll,2021-06-09,41,0.672,0.794,5,-4.571,1,0.0295,0.0302,0.836,0.0984,0.127,100.014,audio_features,spotify:track:0qDF8zVwQPEXNB8OVozS46,https://api.spotify.com/v1/tracks/0qDF8zVwQPEXNB8OVozS46,https://api.spotify.com/v1/audio-analysis/0qDF8zVwQPEXNB8OVozS46,81502,4
0svrgnY1mSYn7orRCwhMYj,Screenplay,2021-05-21,0,0.792,0.655,10,-7.718,0,0.0566,0.298,0.0853,0.0983,0.93,120.061,audio_features,spotify:track:0svrgnY1mSYn7orRCwhMYj,https://api.spotify.com/v1/tracks/0svrgnY1mSYn7orRCwhMYj,https://api.spotify.com/v1/audio-analysis/0svrgnY1mSYn7orRCwhMYj,100127,4
0TYPrGV5YrT3HXwVW61Tsj,Hello World!,2021-04-13,41,0.606,0.669,6,-4.776,0,0.171,0.0156,0.0338,0.101,0.666,150.275,audio_features,spotify:track:0TYPrGV5YrT3HXwVW61Tsj,https://api.spotify.com/v1/tracks/0TYPrGV5YrT3HXwVW61Tsj,https://api.spotify.com/v1/audio-analysis/0TYPrGV5YrT3HXwVW61Tsj,129620,4
0VBqOz43eHszAaKPqYqSut,Ordinance-F,2021-04-09,31,0.342,0.889,4,-9.011,0,0.0723,4.5e-5,0.614,0.405,0.591,195.128,audio_features,spotify:track:0VBqOz43eHszAaKPqYqSut,https://api.spotify.com/v1/tracks/0VBqOz43eHszAaKPqYqSut,https://api.spotify.com/v1/audio-analysis/0VBqOz43eHszAaKPqYqSut,124317,3
0VfMdTYBS675BBmEs54G4c,M.I.L.F,2020-12-31,55,0.513,0.91,11,-7.177,0,0.0567,0.041,0.431,0.065,0.43,180.155,audio_features,spotify:track:0VfMdTYBS675BBmEs54G4c,https://api.spotify.com/v1/tracks/0VfMdTYBS675BBmEs54G4c,https://api.spotify.com/v1/audio-analysis/0VfMdTYBS675BBmEs54G4c,124667,4
0xkYFfLn1lU0oHcWSi7Sy5,Release + Fading,2021-05-11,37,0.407,0.732,11,-11.061,1,0.0569,0.287,0.878,0.109,0.753,119.986,audio_features,spotify:track:0xkYFfLn1lU0oHcWSi7Sy5,https://api.spotify.com/v1/tracks/0xkYFfLn1lU0oHcWSi7Sy5,https://api.spotify.com/v1/audio-analysis/0xkYFfLn1lU0oHcWSi7Sy5,233178,4
0XMAZU68W8oMNRg0HdDMDr,Saving Face,2021-05-12,0,0.66,0.305,1,-5.054,1,0.0309,0.0288,0.925,0.0897,0.625,176.039,audio_features,spotify:track:0XMAZU68W8oMNRg0HdDMDr,https://api.spotify.com/v1/tracks/0XMAZU68W8oMNRg0HdDMDr,https://api.spotify.com/v1/audio-analysis/0XMAZU68W8oMNRg0HdDMDr,117280,4
0zKs8AfN7nrpqcKojbgDw4,Last Chance,2021-05-19,0,0.701,0.836,4,-6.451,0,0.0467,0.00162,0.81,0.0887,0.574,95.01,audio_features,spotify:track:0zKs8AfN7nrpqcKojbgDw4,https://api.spotify.com/v1/tracks/0zKs8AfN7nrpqcKojbgDw4,https://api.spotify.com/v1/audio-analysis/0zKs8AfN7nrpqcKojbgDw4,123272,4
19yutdatnPAA6gDg373V8x,Zavodila,2021-04-28,41,0.579,0.845,1,-10.392,1,0.0677,0.0927,0.156,0.106,0.368,131.923,audio_features,spotify:track:19yutdatnPAA6gDg373V8x,https://api.spotify.com/v1/tracks/19yutdatnPAA6gDg373V8x,https://api.spotify.com/v1/audio-analysis/19yutdatnPAA6gDg373V8x,201700,4
