id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
02MWAaffLxlfxAUY7c5dvx,Heat Waves,2020-08-06,91,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-6,0.0921,0.531,80.87,audio_features,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4
0e8nrvls4Qqv5Rfa2UhqmO,THATS WHAT I WANT,2021-09-17,91,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,audio_features,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,2020-03-20,90,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-5,0.0897,0.334,171.005,audio_features,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
0y60itmpH0aPKsFiGxmtnh,Wait a Minute!,2015-01-11,86,0.764,0.705,3,-5.279,0,0.0278,0.0371,1.94e-5,0.0943,0.672,101.003,audio_features,spotify:track:0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/tracks/0y60itmpH0aPKsFiGxmtnh,https://api.spotify.com/v1/audio-analysis/0y60itmpH0aPKsFiGxmtnh,196520,4
18asYwWugKjjsihZ0YvRxO,The Motto,2021-11-04,90,0.754,0.763,7,-4.627,0,0.0435,0.0301,2.23e-5,0.0901,0.464,117.953,audio_features,spotify:track:18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/tracks/18asYwWugKjjsihZ0YvRxO,https://api.spotify.com/v1/audio-analysis/18asYwWugKjjsihZ0YvRxO,164819,4
1HhNoOuqm1a5MXYEgAFl8o,Enemy (with JID) - from the series Arcane League of Legends,2021-09-03,85,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,audio_features,spotify:track:1HhNoOuqm1a5MXYEgAFl8o,https://api.spotify.com/v1/tracks/1HhNoOuqm1a5MXYEgAFl8o,https://api.spotify.com/v1/audio-analysis/1HhNoOuqm1a5MXYEgAFl8o,173381,4
1O2pcBJGej0pmH2Y9XZMs6,Una Noche en Medellín,2022-01-21,92,0.87,0.548,10,-5.253,0,0.077,0.0924,4.6e-5,0.0534,0.832,96.018,audio_features,spotify:track:1O2pcBJGej0pmH2Y9XZMs6,https://api.spotify.com/v1/tracks/1O2pcBJGej0pmH2Y9XZMs6,https://api.spotify.com/v1/audio-analysis/1O2pcBJGej0pmH2Y9XZMs6,153750,4
1r8ZCjfrQxoy2wVaBUbpwg,Thousand Miles,2022-04-22,78,0.376,0.657,7,-4.658,1,0.0768,0.0858,0,0.0884,0.203,80.565,audio_features,spotify:track:1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/tracks/1r8ZCjfrQxoy2wVaBUbpwg,https://api.spotify.com/v1/audio-analysis/1r8ZCjfrQxoy2wVaBUbpwg,164782,4
1rDQ4oMwGJI7B4tovsBOxc,First Class,2022-04-08,94,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-6,0.113,0.324,106.998,audio_features,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/tracks/1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/audio-analysis/1rDQ4oMwGJI7B4tovsBOxc,173948,4
1ri9ZUkBJVFUdgwzCnfcYs,MAMIII,2022-02-10,92,0.843,0.7,4,-3.563,0,0.0803,0.0934,0,0.14,0.899,93.991,audio_features,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/tracks/1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/audio-analysis/1ri9ZUkBJVFUdgwzCnfcYs,226088,4
