id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0DuYlKBx8CNir3twZIGa9d,Unlocked - Original Mix,2014-12-05,32,0.376,0.9,6,-6.352,0,0.0891,0.00763,0.888,0.72,0.242,128.41,audio_features,spotify:track:0DuYlKBx8CNir3twZIGa9d,https://api.spotify.com/v1/tracks/0DuYlKBx8CNir3twZIGa9d,https://api.spotify.com/v1/audio-analysis/0DuYlKBx8CNir3twZIGa9d,227583,4
0E1RL6rKe18aUq70B2fgXs,Till It's Over,2013-12-30,0,0.61,0.836,7,-6.428,0,0.089,0.123,0,0.164,0.329,110.025,audio_features,spotify:track:0E1RL6rKe18aUq70B2fgXs,https://api.spotify.com/v1/tracks/0E1RL6rKe18aUq70B2fgXs,https://api.spotify.com/v1/audio-analysis/0E1RL6rKe18aUq70B2fgXs,270545,4
0RfnQSMXPRxYLmtinxaLGq,Long Live the New Fresh - Live,2016-03-11,39,0.602,0.945,7,-5.123,1,0.105,2.48e-4,0.772,0.179,0.292,127.023,audio_features,spotify:track:0RfnQSMXPRxYLmtinxaLGq,https://api.spotify.com/v1/tracks/0RfnQSMXPRxYLmtinxaLGq,https://api.spotify.com/v1/audio-analysis/0RfnQSMXPRxYLmtinxaLGq,266960,4
0tiCX8fW1rAMKYbVvl48NA,Houston,2014-02-14,30,0.546,0.986,0,-3.618,1,0.0584,0.00449,0.782,0.0973,0.612,130.011,audio_features,spotify:track:0tiCX8fW1rAMKYbVvl48NA,https://api.spotify.com/v1/tracks/0tiCX8fW1rAMKYbVvl48NA,https://api.spotify.com/v1/audio-analysis/0tiCX8fW1rAMKYbVvl48NA,321361,4
0Tv0mATuRY8X3wC1nFtZlL,Cheat Codes,2014-04-21,0,0.626,0.96,4,-4.234,0,0.0837,2.87e-4,3.04e-4,0.894,0.146,128.001,audio_features,spotify:track:0Tv0mATuRY8X3wC1nFtZlL,https://api.spotify.com/v1/tracks/0Tv0mATuRY8X3wC1nFtZlL,https://api.spotify.com/v1/audio-analysis/0Tv0mATuRY8X3wC1nFtZlL,211875,4
0UKhQbzhH7Ph92wYvKO679,On the Run,2016-02-09,29,0.538,0.983,10,-2.782,0,0.0667,0.00217,0.906,0.0298,0.764,160.015,audio_features,spotify:track:0UKhQbzhH7Ph92wYvKO679,https://api.spotify.com/v1/tracks/0UKhQbzhH7Ph92wYvKO679,https://api.spotify.com/v1/audio-analysis/0UKhQbzhH7Ph92wYvKO679,268500,4
113CqTH74b2jpFjPPU755D,This Is America,2021-02-19,52,0.919,0.528,10,-8.926,1,0.23,0.00979,5.59e-5,0.37,0.855,119.988,audio_features,spotify:track:113CqTH74b2jpFjPPU755D,https://api.spotify.com/v1/tracks/113CqTH74b2jpFjPPU755D,https://api.spotify.com/v1/audio-analysis/113CqTH74b2jpFjPPU755D,161496,4
14SgFEtZjTR4mET7dmYI4c,The Lunar Whale,2016-01-21,29,0.581,0.945,6,-4.665,0,0.0586,4.98e-5,0.851,0.0417,0.549,108.842,audio_features,spotify:track:14SgFEtZjTR4mET7dmYI4c,https://api.spotify.com/v1/tracks/14SgFEtZjTR4mET7dmYI4c,https://api.spotify.com/v1/audio-analysis/14SgFEtZjTR4mET7dmYI4c,275764,4
1gtjTxeC8MXgtcXQO3I6F8,Legacy,2016-01-21,28,0.558,0.99,7,-3.214,1,0.0666,8.19e-5,0.834,0.444,0.762,113.958,audio_features,spotify:track:1gtjTxeC8MXgtcXQO3I6F8,https://api.spotify.com/v1/tracks/1gtjTxeC8MXgtcXQO3I6F8,https://api.spotify.com/v1/audio-analysis/1gtjTxeC8MXgtcXQO3I6F8,317023,4
1IDtW3ElA3RNbye89NznwI,Corrupted,2016-01-21,39,0.62,0.947,1,-4.201,1,0.0779,0.00152,0.891,0.0325,0.776,138.582,audio_features,spotify:track:1IDtW3ElA3RNbye89NznwI,https://api.spotify.com/v1/tracks/1IDtW3ElA3RNbye89NznwI,https://api.spotify.com/v1/audio-analysis/1IDtW3ElA3RNbye89NznwI,376633,4
1vO8Rd29aJ9mQZPgEJcpXm,First Crush,2011-10-10,35,0.293,0.56,5,-7.546,0,0.0411,0.00978,0.274,0.217,0.356,88.45,audio_features,spotify:track:1vO8Rd29aJ9mQZPgEJcpXm,https://api.spotify.com/v1/tracks/1vO8Rd29aJ9mQZPgEJcpXm,https://api.spotify.com/v1/audio-analysis/1vO8Rd29aJ9mQZPgEJcpXm,315914,4
1WK54sXBZbvSI0kQcULzLU,Message,2021-03-18,18,0.537,0.659,0,-8.191,0,0.0894,0.101,1.74e-6,0.131,0.551,130.007,audio_features,spotify:track:1WK54sXBZbvSI0kQcULzLU,https://api.spotify.com/v1/tracks/1WK54sXBZbvSI0kQcULzLU,https://api.spotify.com/v1/audio-analysis/1WK54sXBZbvSI0kQcULzLU,177293,4
1YVgNNoNEQ2YyefTiIyjGR,Chronos,2016-01-21,37,0.561,0.986,8,-2.919,1,0.141,0.00148,0.944,0.564,0.564,133.691,audio_features,spotify:track:1YVgNNoNEQ2YyefTiIyjGR,https://api.spotify.com/v1/tracks/1YVgNNoNEQ2YyefTiIyjGR,https://api.spotify.com/v1/audio-analysis/1YVgNNoNEQ2YyefTiIyjGR,269679,4
20ah0Ex5VUcWhkGcVCyfKu,Into the Zone,2014-08-19,35,0.726,0.779,9,-5.652,0,0.0805,0.00211,0.581,0.0856,0.463,121.933,audio_features,spotify:track:20ah0Ex5VUcWhkGcVCyfKu,https://api.spotify.com/v1/tracks/20ah0Ex5VUcWhkGcVCyfKu,https://api.spotify.com/v1/audio-analysis/20ah0Ex5VUcWhkGcVCyfKu,161311,4
