id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
02ivnDhUJhhH0ftXdamtEj,New World,2015-09-09,8,0.296,0.927,9,-2.293,0,0.0872,0.00805,0,0.107,0.265,175.019,audio_features,spotify:track:02ivnDhUJhhH0ftXdamtEj,https://api.spotify.com/v1/tracks/02ivnDhUJhhH0ftXdamtEj,https://api.spotify.com/v1/audio-analysis/02ivnDhUJhhH0ftXdamtEj,202227,4
0geDkWzO7guFvacEKeH2zy,How is Life?,2017-03-08,3,0.639,0.926,10,-5.414,1,0.0758,0.0014,2.26e-5,0.131,0.818,121.971,audio_features,spotify:track:0geDkWzO7guFvacEKeH2zy,https://api.spotify.com/v1/tracks/0geDkWzO7guFvacEKeH2zy,https://api.spotify.com/v1/audio-analysis/0geDkWzO7guFvacEKeH2zy,234759,4
0JedkqseCRu9fbojB6UuHB,Final Resonance,2019-04-28,21,0.13,0.902,5,-5.208,0,0.0608,1.51e-4,0.669,0.083,0.907,194.971,audio_features,spotify:track:0JedkqseCRu9fbojB6UuHB,https://api.spotify.com/v1/tracks/0JedkqseCRu9fbojB6UuHB,https://api.spotify.com/v1/audio-analysis/0JedkqseCRu9fbojB6UuHB,146680,4
0LgUBYhZ5wmweKFnLtWqAR,Kiss me,2014-08-23,4,0.423,0.955,7,-3.931,1,0.0835,3.12e-5,0.00846,0.221,0.334,97.453,audio_features,spotify:track:0LgUBYhZ5wmweKFnLtWqAR,https://api.spotify.com/v1/tracks/0LgUBYhZ5wmweKFnLtWqAR,https://api.spotify.com/v1/audio-analysis/0LgUBYhZ5wmweKFnLtWqAR,265149,4
0mlLvsh0LlyeO0qmwWVn37,Protoflicker,2019-04-28,30,0.329,0.907,1,-6.099,1,0.0522,8.89e-4,0.745,0.0611,0.356,96.178,audio_features,spotify:track:0mlLvsh0LlyeO0qmwWVn37,https://api.spotify.com/v1/tracks/0mlLvsh0LlyeO0qmwWVn37,https://api.spotify.com/v1/audio-analysis/0mlLvsh0LlyeO0qmwWVn37,416507,4
0nJauU4dDU17dTh7PQF0qm,Ne M'oubliez Pas,2020-02-13,13,0.614,0.695,9,-11.919,0,0.0304,0.039,0.179,0.101,0.317,118.001,audio_features,spotify:track:0nJauU4dDU17dTh7PQF0qm,https://api.spotify.com/v1/tracks/0nJauU4dDU17dTh7PQF0qm,https://api.spotify.com/v1/audio-analysis/0nJauU4dDU17dTh7PQF0qm,144683,4
0OGuHv0JAv48B8DBGX5IR1,Get Ready,2016-10-12,4,0.595,0.95,11,-3.211,1,0.0807,5.84e-4,3.51e-5,0.345,0.547,142.015,audio_features,spotify:track:0OGuHv0JAv48B8DBGX5IR1,https://api.spotify.com/v1/tracks/0OGuHv0JAv48B8DBGX5IR1,https://api.spotify.com/v1/audio-analysis/0OGuHv0JAv48B8DBGX5IR1,223720,4
0QGKzRRQQDd28ESl3piCQa,The Fatal Fantasia,2020-12-25,11,0.478,0.855,10,-5.398,0,0.0458,0.0752,0.0208,0.0867,0.391,130.021,audio_features,spotify:track:0QGKzRRQQDd28ESl3piCQa,https://api.spotify.com/v1/tracks/0QGKzRRQQDd28ESl3piCQa,https://api.spotify.com/v1/audio-analysis/0QGKzRRQQDd28ESl3piCQa,160000,4
0x4MciHEjJUl41UIn5zcfO,vivid color,2017-03-01,6,0.495,0.716,2,-5.327,1,0.0349,0.406,0,0.152,0.46,155.946,audio_features,spotify:track:0x4MciHEjJUl41UIn5zcfO,https://api.spotify.com/v1/tracks/0x4MciHEjJUl41UIn5zcfO,https://api.spotify.com/v1/audio-analysis/0x4MciHEjJUl41UIn5zcfO,285807,3
0ywKyvLwcETq45KX3Wplw4,Phoebus - Long Ver.,2019-04-28,17,0.397,0.933,1,-5.475,1,0.152,7.52e-4,0.364,0.348,0.226,176.037,audio_features,spotify:track:0ywKyvLwcETq45KX3Wplw4,https://api.spotify.com/v1/tracks/0ywKyvLwcETq45KX3Wplw4,https://api.spotify.com/v1/audio-analysis/0ywKyvLwcETq45KX3Wplw4,299529,4
0ZwQg0Qj8snEolneQVrSzE,3rd Avenue - 2020 Game Edit,2020-05-02,0,0.823,0.558,11,-13.505,0,0.191,2.68e-4,0.346,0.576,0.327,130.025,audio_features,spotify:track:0ZwQg0Qj8snEolneQVrSzE,https://api.spotify.com/v1/tracks/0ZwQg0Qj8snEolneQVrSzE,https://api.spotify.com/v1/audio-analysis/0ZwQg0Qj8snEolneQVrSzE,161312,4
19K3fxo15Dp9hgJJeguDsh,Vr in the Virtual World(Extended Mix),2019-04-28,18,0.239,0.984,4,-7.059,1,0.069,0.0183,0.782,0.252,0.801,149.948,audio_features,spotify:track:19K3fxo15Dp9hgJJeguDsh,https://api.spotify.com/v1/tracks/19K3fxo15Dp9hgJJeguDsh,https://api.spotify.com/v1/audio-analysis/19K3fxo15Dp9hgJJeguDsh,184787,4
1ae3RQ3scAyJv6u7hJ6lIJ,The Journey to Eden,2017-04-20,7,0.253,0.684,7,-6.466,1,0.0436,0.772,3.32e-4,0.332,0.0613,120.053,audio_features,spotify:track:1ae3RQ3scAyJv6u7hJ6lIJ,https://api.spotify.com/v1/tracks/1ae3RQ3scAyJv6u7hJ6lIJ,https://api.spotify.com/v1/audio-analysis/1ae3RQ3scAyJv6u7hJ6lIJ,183000,4
1J9XcKwgTOiF3C7csJIEUd,Quon -Extend-,2020-10-05,18,0.484,0.991,1,-2.927,0,0.0428,0.0204,0.907,0.23,0.513,94.515,audio_features,spotify:track:1J9XcKwgTOiF3C7csJIEUd,https://api.spotify.com/v1/tracks/1J9XcKwgTOiF3C7csJIEUd,https://api.spotify.com/v1/audio-analysis/1J9XcKwgTOiF3C7csJIEUd,208413,4
1OljhuVuRu9gLMVxfFeim4,Funky Life - Extended Mix,2019-04-28,0,0.635,0.922,11,-6.537,0,0.0369,0.00442,0.83,0.22,0.873,130.041,audio_features,spotify:track:1OljhuVuRu9gLMVxfFeim4,https://api.spotify.com/v1/tracks/1OljhuVuRu9gLMVxfFeim4,https://api.spotify.com/v1/audio-analysis/1OljhuVuRu9gLMVxfFeim4,238040,4
1ue6X3Ekc89IQvEGPJYtQp,Lumia,2019-10-27,17,0.35,0.968,4,-5.271,0,0.0452,0.155,0.0643,0.0926,0.5,179.984,audio_features,spotify:track:1ue6X3Ekc89IQvEGPJYtQp,https://api.spotify.com/v1/tracks/1ue6X3Ekc89IQvEGPJYtQp,https://api.spotify.com/v1/audio-analysis/1ue6X3Ekc89IQvEGPJYtQp,122500,4
25HWIDKoykzatNZ37kBO3z,MariannE,2015-02-25,0,0.405,0.936,9,-4.907,0,0.0486,3.2e-4,0.674,0.166,0.173,95.528,audio_features,spotify:track:25HWIDKoykzatNZ37kBO3z,https://api.spotify.com/v1/tracks/25HWIDKoykzatNZ37kBO3z,https://api.spotify.com/v1/audio-analysis/25HWIDKoykzatNZ37kBO3z,355627,4
2MpxDgIUMeTyekIgVFBjbt,Sakura Saku,2016-10-12,23,0.642,0.804,9,-5.006,1,0.0654,0.045,3.52e-6,0.153,0.745,174.066,audio_features,spotify:track:2MpxDgIUMeTyekIgVFBjbt,https://api.spotify.com/v1/tracks/2MpxDgIUMeTyekIgVFBjbt,https://api.spotify.com/v1/audio-analysis/2MpxDgIUMeTyekIgVFBjbt,246552,4
2YV1rbrGM3vOumpvMtc6Dg,Reignite,2016-08-14,15,0.32,0.927,5,-6.739,1,0.138,0.0013,0.0175,0.234,0.391,180.86,audio_features,spotify:track:2YV1rbrGM3vOumpvMtc6Dg,https://api.spotify.com/v1/tracks/2YV1rbrGM3vOumpvMtc6Dg,https://api.spotify.com/v1/audio-analysis/2YV1rbrGM3vOumpvMtc6Dg,118011,4
3D9u1K1zsFrznaomuyU678,Horizon Blue feat.Aikapin & Chiyoko,2020-12-23,0,0.47,0.929,5,-2.451,0,0.0583,0.394,5.98e-6,0.227,0.675,200.12,audio_features,spotify:track:3D9u1K1zsFrznaomuyU678,https://api.spotify.com/v1/tracks/3D9u1K1zsFrznaomuyU678,https://api.spotify.com/v1/audio-analysis/3D9u1K1zsFrznaomuyU678,168300,3
3dTRykdBgl09gWCn4jN5CB,PYONTA,2017-03-02,10,0.576,0.922,7,-3.229,1,0.147,0.0191,2.9e-4,0.591,0.545,160.016,audio_features,spotify:track:3dTRykdBgl09gWCn4jN5CB,https://api.spotify.com/v1/tracks/3dTRykdBgl09gWCn4jN5CB,https://api.spotify.com/v1/audio-analysis/3dTRykdBgl09gWCn4jN5CB,225240,4
