id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
00NxAXxNkPR18nX1hcNBiP,Best One,2021-03-15,36,0.823,0.482,8,-9.653,0,0.0337,0.462,0.825,0.145,0.307,109.994,audio_features,spotify:track:00NxAXxNkPR18nX1hcNBiP,https://api.spotify.com/v1/tracks/00NxAXxNkPR18nX1hcNBiP,https://api.spotify.com/v1/audio-analysis/00NxAXxNkPR18nX1hcNBiP,222547,4
01eJ5xhK0KjXLZYwCKL3N1,ニーハオ feat. 初音ミク,2018-01-01,35,0.646,0.866,8,-4.997,1,0.0324,0.0529,0,0.103,0.857,139.992,audio_features,spotify:track:01eJ5xhK0KjXLZYwCKL3N1,https://api.spotify.com/v1/tracks/01eJ5xhK0KjXLZYwCKL3N1,https://api.spotify.com/v1/audio-analysis/01eJ5xhK0KjXLZYwCKL3N1,171429,4
01Y8ydyIPKKHlYqMsSzqrB,Lilith Ambivalence Lovers,2020-10-25,16,0.487,0.99,10,-3.416,0,0.187,0.0185,0.0154,0.199,0.452,155.605,audio_features,spotify:track:01Y8ydyIPKKHlYqMsSzqrB,https://api.spotify.com/v1/tracks/01Y8ydyIPKKHlYqMsSzqrB,https://api.spotify.com/v1/audio-analysis/01Y8ydyIPKKHlYqMsSzqrB,291000,4
05dF5wCEZ4CvZrdyzobLRM,Party in the HOLLOWood feat. ななひら,2018-02-14,1,0.546,0.994,5,-2.277,0,0.0997,0.0733,0.00695,0.333,0.697,177.993,audio_features,spotify:track:05dF5wCEZ4CvZrdyzobLRM,https://api.spotify.com/v1/tracks/05dF5wCEZ4CvZrdyzobLRM,https://api.spotify.com/v1/audio-analysis/05dF5wCEZ4CvZrdyzobLRM,236646,4
0AvkkVLIYb7lMPIKYKlSBc,One Way Street,2017-12-19,34,0.54,0.957,3,-1.644,1,0.0618,0.165,0.00445,0.0843,0.65,150.031,audio_features,spotify:track:0AvkkVLIYb7lMPIKYKlSBc,https://api.spotify.com/v1/tracks/0AvkkVLIYb7lMPIKYKlSBc,https://api.spotify.com/v1/audio-analysis/0AvkkVLIYb7lMPIKYKlSBc,147204,4
0AvpiFSH47gYo1LLduTaHA,Alice in Misanthrope - 2018 Ver.,2018-08-10,29,0.385,0.984,10,-3.682,0,0.105,0.00122,0.0512,0.0552,0.323,171.946,audio_features,spotify:track:0AvpiFSH47gYo1LLduTaHA,https://api.spotify.com/v1/tracks/0AvpiFSH47gYo1LLduTaHA,https://api.spotify.com/v1/audio-analysis/0AvpiFSH47gYo1LLduTaHA,144837,4
0DFhWSAHivJUpDGYr5jqP8,Sea-Saw Day,2021-07-01,27,0.627,0.954,1,-5.337,1,0.0711,0.0239,3.79e-6,0.0305,0.809,115.051,audio_features,spotify:track:0DFhWSAHivJUpDGYr5jqP8,https://api.spotify.com/v1/tracks/0DFhWSAHivJUpDGYr5jqP8,https://api.spotify.com/v1/audio-analysis/0DFhWSAHivJUpDGYr5jqP8,187233,4
0DFmluuIEjKcJLUN7fxyFN,Imaginary World (Extended),2019-04-28,25,0.329,0.833,1,-11.081,1,0.0378,5.11e-4,0.585,0.0999,0.266,179.922,audio_features,spotify:track:0DFmluuIEjKcJLUN7fxyFN,https://api.spotify.com/v1/tracks/0DFmluuIEjKcJLUN7fxyFN,https://api.spotify.com/v1/audio-analysis/0DFmluuIEjKcJLUN7fxyFN,274341,4
0FyibvWvO5ms5J7I1xUTic,Lueur de la nuit,2018-10-30,22,0.568,0.934,0,-4.395,0,0.0694,2.05e-4,0.00687,0.285,0.229,110.031,audio_features,spotify:track:0FyibvWvO5ms5J7I1xUTic,https://api.spotify.com/v1/tracks/0FyibvWvO5ms5J7I1xUTic,https://api.spotify.com/v1/audio-analysis/0FyibvWvO5ms5J7I1xUTic,178382,3
0hcvAUa2YTTysaw3ySQfwo,tape/stop/night,2020-12-21,41,0.661,0.855,3,-4.752,0,0.117,0.0967,0,0.108,0.771,114.988,audio_features,spotify:track:0hcvAUa2YTTysaw3ySQfwo,https://api.spotify.com/v1/tracks/0hcvAUa2YTTysaw3ySQfwo,https://api.spotify.com/v1/audio-analysis/0hcvAUa2YTTysaw3ySQfwo,212875,4
0jIkwj3Yyoip3UTu127UDZ,ONOMATO Pairing!!!,2020-09-18,23,0.516,0.985,8,-3.379,1,0.11,0.00302,0.657,0.0675,0.521,158.048,audio_features,spotify:track:0jIkwj3Yyoip3UTu127UDZ,https://api.spotify.com/v1/tracks/0jIkwj3Yyoip3UTu127UDZ,https://api.spotify.com/v1/audio-analysis/0jIkwj3Yyoip3UTu127UDZ,127595,4
0KE7cY9CjqxA2zdFrq3HXx,Different,2018-02-02,15,0.74,0.947,0,-3.525,0,0.0555,0.172,1.95e-4,0.111,0.888,108.989,audio_features,spotify:track:0KE7cY9CjqxA2zdFrq3HXx,https://api.spotify.com/v1/tracks/0KE7cY9CjqxA2zdFrq3HXx,https://api.spotify.com/v1/audio-analysis/0KE7cY9CjqxA2zdFrq3HXx,281835,4
0OgX2jCp7UF9NfcnaXZnLL,Cyaegha - Extended Mix,2021-01-05,23,0.535,0.963,7,-3.226,1,0.109,4.93e-4,0.716,0.382,0.382,100.061,audio_features,spotify:track:0OgX2jCp7UF9NfcnaXZnLL,https://api.spotify.com/v1/tracks/0OgX2jCp7UF9NfcnaXZnLL,https://api.spotify.com/v1/audio-analysis/0OgX2jCp7UF9NfcnaXZnLL,274553,4
0OxOJbkUx0WvGPaWQAbgkO,ULTRA MEGA HAPPY PARTY!!! (more Party!! Extend),2018-04-29,15,0.407,0.995,11,-4.465,0,0.12,2.86e-5,0.82,0.321,0.517,102.506,audio_features,spotify:track:0OxOJbkUx0WvGPaWQAbgkO,https://api.spotify.com/v1/tracks/0OxOJbkUx0WvGPaWQAbgkO,https://api.spotify.com/v1/audio-analysis/0OxOJbkUx0WvGPaWQAbgkO,212508,4
