id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
01Y8ydyIPKKHlYqMsSzqrB,Lilith Ambivalence Lovers,2020-10-25,16,0.487,0.99,10,-3.416,0,0.187,0.0185,0.0154,0.199,0.452,155.605,audio_features,spotify:track:01Y8ydyIPKKHlYqMsSzqrB,https://api.spotify.com/v1/tracks/01Y8ydyIPKKHlYqMsSzqrB,https://api.spotify.com/v1/audio-analysis/01Y8ydyIPKKHlYqMsSzqrB,291000,4
0AvkkVLIYb7lMPIKYKlSBc,One Way Street,2017-12-19,34,0.54,0.957,3,-1.644,1,0.0618,0.165,0.00445,0.0843,0.65,150.031,audio_features,spotify:track:0AvkkVLIYb7lMPIKYKlSBc,https://api.spotify.com/v1/tracks/0AvkkVLIYb7lMPIKYKlSBc,https://api.spotify.com/v1/audio-analysis/0AvkkVLIYb7lMPIKYKlSBc,147204,4
0AvpiFSH47gYo1LLduTaHA,Alice in Misanthrope - 2018 Ver.,2018-08-10,29,0.385,0.984,10,-3.682,0,0.105,0.00122,0.0512,0.0552,0.323,171.946,audio_features,spotify:track:0AvpiFSH47gYo1LLduTaHA,https://api.spotify.com/v1/tracks/0AvpiFSH47gYo1LLduTaHA,https://api.spotify.com/v1/audio-analysis/0AvpiFSH47gYo1LLduTaHA,144837,4
0HCBObgB7lqRSUpqrvKTYy,GAMEBOY,2019-04-28,11,0.424,0.698,0,-6.942,1,0.0565,0.00246,0.114,0.341,0.0979,104.802,audio_features,spotify:track:0HCBObgB7lqRSUpqrvKTYy,https://api.spotify.com/v1/tracks/0HCBObgB7lqRSUpqrvKTYy,https://api.spotify.com/v1/audio-analysis/0HCBObgB7lqRSUpqrvKTYy,198920,4
0KOF5LRs2sTYiy0pJ6z7Ja,Bass Telekinesis,2015-10-06,0,0.53,0.798,11,-6.484,1,0.0294,1.27e-4,0.869,0.366,0.225,110.049,audio_features,spotify:track:0KOF5LRs2sTYiy0pJ6z7Ja,https://api.spotify.com/v1/tracks/0KOF5LRs2sTYiy0pJ6z7Ja,https://api.spotify.com/v1/audio-analysis/0KOF5LRs2sTYiy0pJ6z7Ja,256987,4
0LxL8EDm9W9xhoBxwpPRmc,Quantum Labyrinth Extended Ver.,2015-10-06,21,0.487,0.988,6,-5.745,1,0.0477,8.26e-4,0.58,0.308,0.566,127.997,audio_features,spotify:track:0LxL8EDm9W9xhoBxwpPRmc,https://api.spotify.com/v1/tracks/0LxL8EDm9W9xhoBxwpPRmc,https://api.spotify.com/v1/audio-analysis/0LxL8EDm9W9xhoBxwpPRmc,288267,4
0WZ78LPQmeP6hPYLemRZlF,13/VIS - Crackin' Mix,2019-04-28,5,0.423,0.981,2,-5.783,1,0.0872,0.0104,0.914,0.321,0.721,128.985,audio_features,spotify:track:0WZ78LPQmeP6hPYLemRZlF,https://api.spotify.com/v1/tracks/0WZ78LPQmeP6hPYLemRZlF,https://api.spotify.com/v1/audio-analysis/0WZ78LPQmeP6hPYLemRZlF,265121,4
1bv8OPI65muxwCjq1AzC6r,Nobody Knows,2016-10-30,7,0.438,0.898,9,-2.724,1,0.0342,0.015,1.67e-4,0.084,0.242,174.966,audio_features,spotify:track:1bv8OPI65muxwCjq1AzC6r,https://api.spotify.com/v1/tracks/1bv8OPI65muxwCjq1AzC6r,https://api.spotify.com/v1/audio-analysis/1bv8OPI65muxwCjq1AzC6r,248232,4
1GTq8G4tgCUDEwVZFxirdZ,YInMn Blue,2019-04-03,16,0.624,0.858,11,-10.104,0,0.149,0.0048,0.402,0.318,0.582,151.862,audio_features,spotify:track:1GTq8G4tgCUDEwVZFxirdZ,https://api.spotify.com/v1/tracks/1GTq8G4tgCUDEwVZFxirdZ,https://api.spotify.com/v1/audio-analysis/1GTq8G4tgCUDEwVZFxirdZ,132636,4
2Eb62IKdchwDnkLSvreVpT,Africa,2016-10-30,4,0.504,0.997,6,-3.585,1,0.0999,0.00393,0.832,0.112,0.366,149.965,audio_features,spotify:track:2Eb62IKdchwDnkLSvreVpT,https://api.spotify.com/v1/tracks/2Eb62IKdchwDnkLSvreVpT,https://api.spotify.com/v1/audio-analysis/2Eb62IKdchwDnkLSvreVpT,227546,4
