id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0d5VvvaNGXGxci0bdxAYcX,风屿,2019-06-20,25,0.386,0.81,7,-5.027,1,0.0506,0.00442,0.49,0.348,0.088,170.051,audio_features,spotify:track:0d5VvvaNGXGxci0bdxAYcX,https://api.spotify.com/v1/tracks/0d5VvvaNGXGxci0bdxAYcX,https://api.spotify.com/v1/audio-analysis/0d5VvvaNGXGxci0bdxAYcX,246871,4
0FjMke0Ck454KwWdPi5NXI,Infinity Heaven,2022-01-10,25,0.481,0.985,8,-3.617,0,0.0761,0.278,0.3,0.189,0.4,160.036,audio_features,spotify:track:0FjMke0Ck454KwWdPi5NXI,https://api.spotify.com/v1/tracks/0FjMke0Ck454KwWdPi5NXI,https://api.spotify.com/v1/audio-analysis/0FjMke0Ck454KwWdPi5NXI,153816,4
0Kd4R2gRlos8NlgNh0GiOr,Another Me,2020-04-24,15,0.29,0.865,7,-5.231,0,0.125,0.0405,0.598,0.118,0.226,175.035,audio_features,spotify:track:0Kd4R2gRlos8NlgNh0GiOr,https://api.spotify.com/v1/tracks/0Kd4R2gRlos8NlgNh0GiOr,https://api.spotify.com/v1/audio-analysis/0Kd4R2gRlos8NlgNh0GiOr,224868,4
0NkAGlPm4teCSi6PIQxGPV,Chronologika,2021-09-25,16,0.443,0.912,9,-5.753,0,0.484,0.00383,0.859,0.0775,0.0851,179.932,audio_features,spotify:track:0NkAGlPm4teCSi6PIQxGPV,https://api.spotify.com/v1/tracks/0NkAGlPm4teCSi6PIQxGPV,https://api.spotify.com/v1/audio-analysis/0NkAGlPm4teCSi6PIQxGPV,212767,4
0SFGVPvnlbdLYUK5IrO6zs,Another Round - Radio Edit,2021-12-27,11,0.731,0.938,8,-2.606,1,0.0499,0.00355,0.0108,0.267,0.264,128.006,audio_features,spotify:track:0SFGVPvnlbdLYUK5IrO6zs,https://api.spotify.com/v1/tracks/0SFGVPvnlbdLYUK5IrO6zs,https://api.spotify.com/v1/audio-analysis/0SFGVPvnlbdLYUK5IrO6zs,144841,4
16rl21wF3xIreyTu11eku5,Energy Synergy Matrix - Extended,2019-04-28,39,0.538,0.946,11,-6.016,1,0.163,1.79e-4,0.605,0.34,0.496,159.995,audio_features,spotify:track:16rl21wF3xIreyTu11eku5,https://api.spotify.com/v1/tracks/16rl21wF3xIreyTu11eku5,https://api.spotify.com/v1/audio-analysis/16rl21wF3xIreyTu11eku5,235750,4
17fyq8ywg99zcmjjDsDHb1,Aleph-0 - Long Ver.,2018-08-10,14,0.341,0.976,7,-4.051,0,0.148,0.0168,0.367,0.177,0.102,125.484,audio_features,spotify:track:17fyq8ywg99zcmjjDsDHb1,https://api.spotify.com/v1/tracks/17fyq8ywg99zcmjjDsDHb1,https://api.spotify.com/v1/audio-analysis/17fyq8ywg99zcmjjDsDHb1,391114,4
1cU5g04pxDLbME9eJMJGt3,MAGENTA POTION,2020-03-28,35,0.576,0.971,5,-2.003,1,0.0803,0.0132,0.00765,0.34,0.654,149.993,audio_features,spotify:track:1cU5g04pxDLbME9eJMJGt3,https://api.spotify.com/v1/tracks/1cU5g04pxDLbME9eJMJGt3,https://api.spotify.com/v1/audio-analysis/1cU5g04pxDLbME9eJMJGt3,146000,4
1E6gYqHjSV2Ffcsk3NPW1B,Human (Original Rhythm Game Soundtrack),2019-06-08,14,0.388,0.865,5,-5.987,0,0.402,0.00727,0.00786,0.0733,0.182,180.122,audio_features,spotify:track:1E6gYqHjSV2Ffcsk3NPW1B,https://api.spotify.com/v1/tracks/1E6gYqHjSV2Ffcsk3NPW1B,https://api.spotify.com/v1/audio-analysis/1E6gYqHjSV2Ffcsk3NPW1B,134625,4
1K8p8QA58tZk00o7HmitQQ,Sultan Rage,2017-11-22,11,0.36,0.973,4,-4.933,0,0.179,4.58e-5,0.949,0.352,0.191,77.426,audio_features,spotify:track:1K8p8QA58tZk00o7HmitQQ,https://api.spotify.com/v1/tracks/1K8p8QA58tZk00o7HmitQQ,https://api.spotify.com/v1/audio-analysis/1K8p8QA58tZk00o7HmitQQ,116040,4
