id,tracks$items$track.name,release,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
03VogLVNK4G4LDXEfP5mdO,Arcana,2016-05-26,11,0.423,0.973,0,-4.674,1,0.0579,7.83e-5,0.909,0.348,0.149,94.016,audio_features,spotify:track:03VogLVNK4G4LDXEfP5mdO,https://api.spotify.com/v1/tracks/03VogLVNK4G4LDXEfP5mdO,https://api.spotify.com/v1/audio-analysis/03VogLVNK4G4LDXEfP5mdO,128505,4
07ND1KkEgMBxZdMKcHrNi2,Sanctity,2016-06-03,25,0.472,0.764,9,-9.101,0,0.0342,0.301,0.815,0.0573,0.278,163.981,audio_features,spotify:track:07ND1KkEgMBxZdMKcHrNi2,https://api.spotify.com/v1/tracks/07ND1KkEgMBxZdMKcHrNi2,https://api.spotify.com/v1/audio-analysis/07ND1KkEgMBxZdMKcHrNi2,243946,4
0aAqtpEGQ7go2bkygkzfXF,Stay,2016-05-26,13,0.685,0.288,1,-16.995,1,0.0315,0.791,0.0099,0.0865,0.111,110.056,audio_features,spotify:track:0aAqtpEGQ7go2bkygkzfXF,https://api.spotify.com/v1/tracks/0aAqtpEGQ7go2bkygkzfXF,https://api.spotify.com/v1/audio-analysis/0aAqtpEGQ7go2bkygkzfXF,186545,4
0aAziC7rwgwW60l9dOgwVl,Farewell Waltz,2016-05-26,16,0.526,0.344,5,-10.623,0,0.0285,0.775,0.83,0.0772,0.345,66.653,audio_features,spotify:track:0aAziC7rwgwW60l9dOgwVl,https://api.spotify.com/v1/tracks/0aAziC7rwgwW60l9dOgwVl,https://api.spotify.com/v1/audio-analysis/0aAziC7rwgwW60l9dOgwVl,99692,4
0bs6GDM1pS7ylYoLBmVxhf,Perspectives,2020-12-25,29,0.44,0.727,9,-4.767,0,0.109,0.0864,3.16e-5,0.125,0.309,105,audio_features,spotify:track:0bs6GDM1pS7ylYoLBmVxhf,https://api.spotify.com/v1/tracks/0bs6GDM1pS7ylYoLBmVxhf,https://api.spotify.com/v1/audio-analysis/0bs6GDM1pS7ylYoLBmVxhf,310857,4
0CnFfzR68NBPqcBmjORQu8,Hop Step Adventure☆,2016-05-26,15,0.5,0.981,5,-4.003,0,0.15,4.67e-4,0.837,0.183,0.611,180.024,audio_features,spotify:track:0CnFfzR68NBPqcBmjORQu8,https://api.spotify.com/v1/tracks/0CnFfzR68NBPqcBmjORQu8,https://api.spotify.com/v1/audio-analysis/0CnFfzR68NBPqcBmjORQu8,122769,4
0ftioNSu3bThKmJcdsckwI,Hope,2016-05-26,26,0.633,0.276,5,-15.714,1,0.134,0.908,0,0.103,0.515,165.906,audio_features,spotify:track:0ftioNSu3bThKmJcdsckwI,https://api.spotify.com/v1/tracks/0ftioNSu3bThKmJcdsckwI,https://api.spotify.com/v1/audio-analysis/0ftioNSu3bThKmJcdsckwI,216867,4
0FXDTnjokOtCHPduMrO1Ad,Like Asian Spirit,2016-05-26,14,0.387,0.991,11,-4.954,0,0.0553,4.83e-6,0.937,0.113,0.747,142.991,audio_features,spotify:track:0FXDTnjokOtCHPduMrO1Ad,https://api.spotify.com/v1/tracks/0FXDTnjokOtCHPduMrO1Ad,https://api.spotify.com/v1/audio-analysis/0FXDTnjokOtCHPduMrO1Ad,129125,4
0hD87cbYpj9pltFDV7q7cF,Heaven's Light,2019-12-24,6,0.336,0.285,3,-10.299,1,0.0369,0.958,0.00493,0.122,0.365,60.385,audio_features,spotify:track:0hD87cbYpj9pltFDV7q7cF,https://api.spotify.com/v1/tracks/0hD87cbYpj9pltFDV7q7cF,https://api.spotify.com/v1/audio-analysis/0hD87cbYpj9pltFDV7q7cF,148000,4
0hEeRxUivsg01ILWAKg4XI,LOUDER MACHINE,2014-10-26,23,0.519,0.879,11,-5.097,1,0.0396,5.75e-5,0,0.233,0.557,179.997,audio_features,spotify:track:0hEeRxUivsg01ILWAKg4XI,https://api.spotify.com/v1/tracks/0hEeRxUivsg01ILWAKg4XI,https://api.spotify.com/v1/audio-analysis/0hEeRxUivsg01ILWAKg4XI,120000,4
